source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,phys/spatial
Lan/anaphor_gender_agreement,0.9716,0.0193,0.0172,0.0113,0.0018,0.0067,0.0044,0.0029,0.0000,0.0011,0.0000,0.0094,0.0022,0.0011,0.0000,0.0000,0.0034,0.0000,0.0022,0.0000,0.0000,0.0000,0.0026,0.0011,0.0081,0.0000,0.0027,0.0016,0.0030,0.0000,0.0000,0.0000,0.0098,0.0168,0.0107,0.0045,0.0126,0.0012,0.0019,0.0078,0.0137,0.0013,0.0032,0.0016,0.0028,0.0013,0.0000
Lan/det_noun_agreement_irregular,0.0000,0.9835,0.9839,0.9605,0.0091,0.0000,0.0254,0.8130,0.0000,0.0011,0.0010,0.0040,0.0000,0.0044,0.0000,0.0000,0.0011,0.0000,0.0033,0.0000,0.0000,0.0000,0.0013,0.0000,0.0040,0.0000,0.0027,0.0047,0.0020,0.0000,0.0000,0.0005,0.0142,0.0309,0.0107,0.0090,0.0050,0.0025,0.0000,0.0039,0.0046,0.0013,0.0064,0.0048,0.0014,0.0135,0.0070
Lan/det_noun_agreement_regular,0.0000,0.9711,0.9920,0.9732,0.0128,0.0000,0.0243,0.8423,0.0000,0.0011,0.0000,0.0040,0.0000,0.0055,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0027,0.0047,0.0040,0.0005,0.0000,0.0005,0.0107,0.0262,0.0481,0.0045,0.0050,0.0000,0.0019,0.0039,0.0061,0.0039,0.0064,0.0016,0.0000,0.0094,0.0000
Lan/det_noun_agreement_with_adjective,0.0000,0.9601,0.9748,0.9548,0.0165,0.0000,0.0166,0.9337,0.0000,0.0000,0.0010,0.0040,0.0000,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0013,0.0063,0.0020,0.0005,0.0000,0.0005,0.0098,0.0458,0.0481,0.0135,0.0050,0.0025,0.0009,0.0039,0.0107,0.0026,0.0064,0.0000,0.0028,0.0135,0.0070
Lan/hypernymy,0.0009,0.0963,0.1525,0.0904,0.8026,0.0000,0.0055,0.0058,0.0000,0.0011,0.0010,0.0027,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0016,0.0091,0.0005,0.0000,0.0000,0.0231,0.0823,0.0160,0.0135,0.0050,0.0062,0.0009,0.0104,0.0992,0.0000,0.0054,0.0000,0.0000,0.0202,0.0070
Lan/npi,0.0000,0.0110,0.0149,0.0085,0.0018,1.0000,0.0011,0.0066,0.0000,0.0011,0.0000,0.0027,0.0022,0.0088,0.0000,0.0000,0.0000,0.0000,0.0055,0.0021,0.0000,0.0000,0.0013,0.0011,0.0040,0.0000,0.0000,0.0079,0.0020,0.0005,0.0000,0.0015,0.0089,0.0159,0.0160,0.0090,0.0202,0.0062,0.0019,0.0052,0.0076,0.0013,0.0021,0.0064,0.0041,0.0027,0.0211
Lan/subject_verb_agreement,0.0009,0.1252,0.1342,0.1215,0.0037,0.0000,0.9735,0.0152,0.0000,0.0011,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0013,0.0032,0.0000,0.0000,0.0000,0.0000,0.0036,0.0206,0.0053,0.0135,0.0101,0.0025,0.0000,0.0013,0.0122,0.0013,0.0011,0.0000,0.0041,0.0000,0.0000
Lan/wug,0.0000,0.4979,0.5734,0.5141,0.0037,0.0000,0.0232,1.0000,0.0000,0.0022,0.0010,0.0040,0.0000,0.0098,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0013,0.0063,0.0010,0.0005,0.0000,0.0005,0.0071,0.0140,0.0053,0.0135,0.0101,0.0062,0.0028,0.0091,0.0183,0.0026,0.0043,0.0000,0.0014,0.0054,0.0000
MD/add_sub_2op_symbolic,0.0000,0.0055,0.0034,0.0000,0.0000,0.0000,0.0000,0.0004,1.0000,0.9901,0.9990,0.9933,0.5850,0.0098,0.0000,0.0000,0.9657,0.0011,0.8554,0.0000,0.0000,1.0000,0.9634,0.9764,0.8710,0.1147,0.9893,0.0032,0.0000,0.0005,0.0000,0.0000,0.0000,0.0075,0.0000,0.0135,0.0025,0.0025,0.0000,0.0026,0.0107,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000
MD/add_sub_2op_verbal,0.0000,0.0055,0.0057,0.0014,0.0000,0.0000,0.0000,0.0012,0.9980,0.9945,0.9990,0.9933,0.5730,0.0328,0.0000,0.0000,0.9657,0.0000,0.0789,0.0000,0.0000,0.9969,0.9777,0.9389,0.7581,0.0644,0.9814,0.0032,0.0000,0.0025,0.0000,0.0020,0.0044,0.0234,0.0160,0.0135,0.0025,0.0187,0.0186,0.0130,0.1542,0.0065,0.0118,0.0223,0.0069,0.0364,0.0070
