,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.101754,0.125052,0.094084,0.055913,0.003930,0.003033,0.002143,0.091816,0.000401,0.004869,0.004053,0.005568,0.103007,0.072758,0.098191,0.051417,0.010045,0.104668,0.001403,0.001291,0.004306,0.002674,0.003456,0.001106,0.002016,0.002108,0.002789,0.002022,0.002123,0.004312,0.003318,0.004176,0.003064,0.003242,0.003491,0.002864,0.003340,0.001979,0.000840,0.001249,0.001932,0.003191,0.002162,0.002841
MD/add_sub_2op_verbal,0.101754,0.000000,0.092263,0.112972,0.044655,0.013923,0.008914,0.011729,0.069427,0.001110,0.003074,0.007738,0.007993,0.073729,0.094883,0.071795,0.042889,0.008953,0.081363,0.001165,0.000933,0.013603,0.007706,0.007641,0.001598,0.001739,0.001446,0.003313,0.008869,0.009000,0.010508,0.009307,0.010300,0.011282,0.010721,0.009209,0.011922,0.006531,0.001404,0.000821,0.001557,0.001396,0.002306,0.003020,0.003539
MD/add_sub_3op_symbolic,0.125052,0.092263,0.000000,0.106087,0.053495,0.003633,0.002766,0.002440,0.089962,0.001749,0.004561,0.003664,0.004974,0.100052,0.073567,0.103014,0.049625,0.012863,0.098134,0.002036,0.001470,0.004902,0.002315,0.002905,0.001532,0.001530,0.001431,0.002050,0.002926,0.002552,0.003862,0.003951,0.002889,0.004146,0.002858,0.003798,0.003030,0.005703,0.001853,0.000956,0.000604,0.001626,0.004422,0.003516,0.003234
MD/add_sub_3op_verbal,0.094084,0.112972,0.106087,0.000000,0.043179,0.012779,0.008915,0.011285,0.067219,0.001300,0.003949,0.005898,0.006618,0.072836,0.089614,0.072701,0.036964,0.010064,0.076147,0.002048,0.002572,0.011003,0.011546,0.009285,0.002202,0.003078,0.001906,0.003638,0.007835,0.007453,0.011074,0.009411,0.011440,0.013644,0.011939,0.011639,0.012654,0.008212,0.002267,0.001752,0.001216,0.002693,0.002701,0.001503,0.002676
MD/code_A,0.055913,0.044655,0.053495,0.043179,0.000000,0.033573,0.061926,0.028419,0.089944,0.013607,0.013586,0.029191,0.015179,0.052836,0.043555,0.056517,0.043996,0.018422,0.059483,0.003346,0.002297,0.017410,0.017291,0.015182,0.002198,0.002505,0.002343,0.006711,0.024073,0.024110,0.017674,0.013081,0.014119,0.012205,0.020166,0.015255,0.015429,0.002679,0.000435,0.000265,0.000426,0.001145,0.001892,0.002787,0.007498
MD/code_B,0.003930,0.013923,0.003633,0.012779,0.033573,0.000000,0.074952,0.118972,0.005212,0.026298,0.027100,0.030335,0.038772,0.004226,0.013233,0.003724,0.010233,0.027251,0.006068,0.006035,0.006443,0.033910,0.029578,0.034155,0.002758,0.003780,0.006365,0.017515,0.071271,0.074575,0.032066,0.028568,0.030030,0.031403,0.028499,0.028412,0.033654,0.003094,0.001832,0.001721,0.002389,0.007465,0.004370,0.003475,0.022425
MD/code_conditional,0.003033,0.008914,0.002766,0.008915,0.061926,0.074952,0.000000,0.073948,0.003432,0.028209,0.027128,0.059423,0.039743,0.002530,0.008688,0.002895,0.003152,0.028394,0.002034,0.009065,0.005631,0.036366,0.041933,0.037507,0.006376,0.005462,0.006058,0.015343,0.051561,0.054504,0.037559,0.029409,0.031573,0.027239,0.041054,0.036068,0.029922,0.006240,0.002028,0.001705,0.002366,0.004212,0.008813,0.006798,0.025125
MD/code_list,0.002143,0.011729,0.002440,0.011285,0.028419,0.118972,0.073948,0.000000,0.003026,0.019201,0.011580,0.025785,0.044658,0.002711,0.010372,0.002327,0.005181,0.019929,0.002505,0.005750,0.006935,0.037821,0.034804,0.039622,0.001697,0.003487,0.007177,0.019676,0.071187,0.076132,0.039422,0.031442,0.036740,0.033565,0.026854,0.033272,0.039335,0.005200,0.002617,0.002802,0.003111,0.009851,0.004896,0.004568,0.025825
MD/code_loop,0.091816,0.069427,0.089962,0.067219,0.089944,0.005212,0.003432,0.003026,0.000000,0.000566,0.004440,0.003904,0.006171,0.102468,0.075115,0.110893,0.064613,0.012932,0.107157,0.001386,0.000872,0.005626,0.002871,0.001689,0.001562,0.000949,0.002089,0.001695,0.002562,0.002213,0.004567,0.004469,0.004355,0.005432,0.004309,0.004096,0.004852,0.007907,0.002795,0.002160,0.002998,0.004745,0.005485,0.004907,0.005112
MD/logic_propositional_1,0.000401,0.001110,0.001749,0.001300,0.013607,0.026298,0.028209,0.019201,0.000566,0.000000,0.268894,0.056359,0.084763,0.000000,0.000000,0.000435,0.009789,0.056230,0.000000,0.023298,0.020792,0.012571,0.019086,0.023370,0.015974,0.019289,0.015869,0.022115,0.055468,0.054316,0.009876,0.022435,0.011895,0.004713,0.013641,0.018565,0.006646,0.003740,0.000663,0.000000,0.000000,0.000000,0.051375,0.000000,0.005392
