,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.2017,0.2113,0.1637,0.1790,0.0527,0.0648,0.0616,0.1385,0.0142,0.0281,0.0567,0.0574,0.2149,0.1623,0.1784,0.0465,0.0596,0.1851,0.0289,0.0147,0.0549,0.0544,0.0548,0.0187,0.0190,0.0249,0.0294,0.0432,0.0476,0.0514,0.0580,0.0554,0.0525,0.0557,0.0557,0.0567,0.0220,0.0205,0.0185,0.0189,0.0249,0.0218,0.0234,0.0401
MD/add_sub_2op_verbal,0.2017,1.0000,0.1588,0.2562,0.1636,0.0732,0.0797,0.0848,0.1145,0.0160,0.0274,0.0665,0.0605,0.1586,0.2482,0.1479,0.0463,0.0601,0.1681,0.0372,0.0231,0.0761,0.0692,0.0725,0.0244,0.0275,0.0325,0.0388,0.0639,0.0668,0.0680,0.0682,0.0672,0.0653,0.0697,0.0695,0.0680,0.0235,0.0224,0.0215,0.0242,0.0263,0.0249,0.0262,0.0497
MD/add_sub_3op_symbolic,0.2113,0.1588,1.0000,0.1659,0.1515,0.0456,0.0559,0.0536,0.1244,0.0154,0.0245,0.0510,0.0501,0.1742,0.1410,0.1699,0.0406,0.0583,0.1593,0.0253,0.0147,0.0520,0.0495,0.0509,0.0179,0.0179,0.0229,0.0274,0.0380,0.0418,0.0500,0.0517,0.0474,0.0485,0.0547,0.0506,0.0502,0.0202,0.0179,0.0162,0.0184,0.0231,0.0233,0.0230,0.0350
MD/add_sub_3op_verbal,0.1637,0.2562,0.1659,1.0000,0.1452,0.0668,0.0746,0.0793,0.1057,0.0188,0.0268,0.0605,0.0616,0.1448,0.2036,0.1400,0.0428,0.0611,0.1519,0.0348,0.0217,0.0726,0.0654,0.0677,0.0235,0.0267,0.0310,0.0380,0.0570,0.0628,0.0655,0.0643,0.0684,0.0633,0.0673,0.0688,0.0648,0.0225,0.0227,0.0222,0.0234,0.0275,0.0264,0.0266,0.0476
MD/code_A,0.1790,0.1636,0.1515,0.1452,1.0000,0.1501,0.3386,0.1547,0.3412,0.0531,0.0644,0.1115,0.0885,0.1618,0.1536,0.1573,0.0507,0.0731,0.1728,0.0409,0.0216,0.0835,0.0865,0.0850,0.0283,0.0271,0.0342,0.0443,0.1270,0.1379,0.0778,0.0840,0.0761,0.0661,0.0829,0.0855,0.0688,0.0218,0.0205,0.0182,0.0192,0.0230,0.0248,0.0230,0.0608
MD/code_B,0.0527,0.0732,0.0456,0.0668,0.1501,1.0000,0.1775,0.3024,0.0346,0.0848,0.0852,0.0762,0.0813,0.0410,0.0644,0.0370,0.0367,0.0530,0.0614,0.0499,0.0313,0.0723,0.0695,0.0717,0.0357,0.0349,0.0436,0.0588,0.1869,0.1892,0.0599,0.0703,0.0599,0.0544,0.0550,0.0678,0.0561,0.0195,0.0196,0.0179,0.0201,0.0210,0.0248,0.0142,0.0680
MD/code_conditional,0.0648,0.0797,0.0559,0.0746,0.3386,0.1775,1.0000,0.1996,0.0424,0.0648,0.0739,0.1207,0.0922,0.0535,0.0692,0.0465,0.0267,0.0633,0.0630,0.0521,0.0267,0.0873,0.0966,0.0917,0.0339,0.0353,0.0449,0.0563,0.1494,0.1602,0.0761,0.0877,0.0753,0.0657,0.0831,0.0891,0.0687,0.0220,0.0218,0.0194,0.0223,0.0238,0.0300,0.0218,0.0671
MD/code_list,0.0616,0.0848,0.0536,0.0793,0.1547,0.3024,0.1996,1.0000,0.0396,0.0565,0.0633,0.0768,0.0927,0.0492,0.0761,0.0454,0.0318,0.0569,0.0656,0.0444,0.0303,0.0830,0.0818,0.0844,0.0294,0.0341,0.0435,0.0571,0.1820,0.1933,0.0743,0.0842,0.0771,0.0702,0.0645,0.0792,0.0756,0.0214,0.0261,0.0257,0.0289,0.0362,0.0248,0.0226,0.0813
MD/code_loop,0.1385,0.1145,0.1244,0.1057,0.3412,0.0346,0.0424,0.0396,1.0000,0.0109,0.0167,0.0393,0.0424,0.1493,0.1243,0.1524,0.0357,0.0515,0.1451,0.0148,0.0089,0.0384,0.0372,0.0391,0.0102,0.0101,0.0119,0.0158,0.0238,0.0280,0.0443,0.0427,0.0430,0.0433,0.0482,0.0398,0.0433,0.0200,0.0127,0.0118,0.0146,0.0232,0.0176,0.0214,0.0238
MD/logic_propositional_1,0.0142,0.0160,0.0154,0.0188,0.0531,0.0848,0.0648,0.0565,0.0109,1.0000,0.1610,0.0585,0.0682,0.0086,0.0111,0.0076,0.0341,0.0343,0.0200,0.0579,0.0380,0.0249,0.0287,0.0282,0.0440,0.0476,0.0524,0.0523,0.1154,0.1087,0.0161,0.0244,0.0171,0.0127,0.0184,0.0251,0.0111,0.0193,0.0144,0.0137,0.0136,0.0053,0.0309,0.0085,0.0194
