source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,phys/spatial
Lan/anaphor_gender_agreement,0.9963,0.0174,0.0089,0.0109,0.0036,0.0000,0.0033,0.0024,0.0000,0.0033,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0011,0.0021,0.0000,0.0000,0.0000,0.0000,0.0026,0.0011,0.0073,0.0000,0.0000,0.0000,0.0095,0.0000,0.0032,0.0000,0.0025,0.0078,0.0067,0.0000,0.0187,0.0028,0.0013,0.0000,0.0026,0.0070,0.0000,0.0000,0.0060,0.0024,0.0000,0.0000
Lan/det_noun_agreement_irregular,0.0000,0.9826,0.9833,0.9715,0.0072,0.0000,0.0198,0.4346,0.0000,0.0044,0.0000,0.0024,0.0000,0.0000,0.0000,0.0000,0.0022,0.0000,0.0010,0.0000,0.0000,0.0000,0.0026,0.0021,0.0073,0.0000,0.0000,0.0000,0.0082,0.0044,0.0000,0.0000,0.0000,0.0068,0.0229,0.0000,0.0140,0.0251,0.0052,0.0000,0.0013,0.0028,0.0000,0.0042,0.0045,0.0012,0.0000,0.0000
Lan/det_noun_agreement_regular,0.0009,0.9759,0.9889,0.9674,0.0072,0.0000,0.0374,0.5662,0.0000,0.0033,0.0000,0.0024,0.0022,0.0000,0.0000,0.0000,0.0011,0.0000,0.0010,0.0000,0.0000,0.0000,0.0013,0.0000,0.0044,0.0044,0.0000,0.0000,0.0082,0.0044,0.0011,0.0000,0.0000,0.0330,0.0478,0.0000,0.0280,0.0168,0.0039,0.0000,0.0013,0.0014,0.0000,0.0032,0.0030,0.0012,0.0000,0.0000
Lan/det_noun_agreement_with_adjective,0.0009,0.9665,0.9744,0.9728,0.0090,0.0000,0.0253,0.9086,0.0000,0.0033,0.0000,0.0024,0.0011,0.0000,0.0000,0.0000,0.0022,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0011,0.0015,0.0044,0.0000,0.0000,0.0122,0.0011,0.0016,0.0000,0.0000,0.0466,0.0487,0.0000,0.0280,0.0112,0.0013,0.0000,0.0013,0.0028,0.0039,0.0000,0.0030,0.0035,0.0013,0.0000
Lan/hypernymy,0.0009,0.0469,0.1024,0.0870,0.8556,0.0000,0.0055,0.0060,0.0000,0.0044,0.0000,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0058,0.0000,0.0000,0.0000,0.0122,0.0109,0.0000,0.0000,0.0015,0.0466,0.0602,0.0000,0.0187,0.0140,0.0052,0.0000,0.0052,0.0056,0.0000,0.0011,0.0030,0.0012,0.0013,0.0000
Lan/npi,0.0009,0.0201,0.0100,0.0082,0.0036,1.0000,0.0044,0.0020,0.0000,0.0033,0.0000,0.0012,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0010,0.0052,0.0000,0.0000,0.0011,0.0058,0.0044,0.0000,0.0000,0.0068,0.0033,0.0043,0.0000,0.0000,0.0126,0.0076,0.0000,0.0140,0.0140,0.0090,0.0009,0.0013,0.0042,0.0000,0.0042,0.0030,0.0012,0.0000,0.0000
Lan/subject_verb_agreement,0.0037,0.2239,0.2472,0.3356,0.0054,0.0034,0.9802,0.0188,0.0000,0.0033,0.0000,0.0012,0.0011,0.0000,0.0000,0.0000,0.0011,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0032,0.0088,0.0087,0.0000,0.0000,0.0068,0.0055,0.0048,0.0000,0.0010,0.0126,0.0153,0.0000,0.0093,0.0223,0.0026,0.0000,0.0013,0.0028,0.0000,0.0011,0.0045,0.0071,0.0013,0.0000
Lan/wug,0.0000,0.2265,0.3107,0.3899,0.0054,0.0000,0.0099,0.9996,0.0000,0.0033,0.0000,0.0036,0.0011,0.0205,0.0000,0.0000,0.0011,0.0031,0.0000,0.0000,0.0010,0.0000,0.0000,0.0011,0.0058,0.0087,0.0010,0.0000,0.0163,0.0022,0.0059,0.0000,0.0025,0.0204,0.0277,0.0000,0.0327,0.0223,0.0155,0.0017,0.0066,0.0056,0.0000,0.0042,0.0030,0.0059,0.0013,0.0000
MD/add_sub_2op_symbolic,0.0000,0.0040,0.0011,0.0054,0.0000,0.0000,0.0033,0.0008,1.0000,0.9967,1.0000,0.9988,0.5930,0.0091,0.0000,0.0000,0.9744,0.0010,0.3062,0.0010,0.0000,1.0000,0.9883,0.9841,0.9079,0.8166,0.0973,0.9936,0.0041,0.0044,0.0027,0.0000,0.0020,0.0194,0.0153,0.0000,0.0140,0.0028,0.0078,0.0000,0.0052,0.0042,0.0000,0.0011,0.0015,0.0000,0.0013,0.0062
MD/add_sub_2op_verbal,0.0000,0.0040,0.0056,0.0068,0.0000,0.0000,0.0022,0.0016,1.0000,0.9989,1.0000,0.9988,0.6040,0.0420,0.0010,0.0000,0.9119,0.0052,0.0454,0.0072,0.0031,0.9990,0.9818,0.9502,0.9006,0.7293,0.0522,0.9897,0.0095,0.0033,0.0170,0.0000,0.0066,0.0165,0.0153,0.0000,0.0140,0.0056,0.0323,0.0052,0.0144,0.0713,0.0000,0.0106,0.0223,0.0188,0.0038,0.0373
MD/add_sub_3op_symbolic,0.0009,0.0067,0.0045,0.0041,0.0000,0.0000,0.0011,0.0004,1.0000,0.9935,1.0000,0.9976,0.5908,0.0114,0.0000,0.0000,0.9298,0.0021,0.4320,0.0031,0.0010,0.9990,0.9753,0.9533,0.8129,0.7424,0.1113,0.9871,0.0109,0.0033,0.0011,0.0000,0.0020,0.0194,0.0096,0.0000,0.0140,0.0056,0.0039,0.0000,0.0026,0.0098,0.0000,0.0032,0.0193,0.0000,0.0013,0.0373
MD/add_sub_3op_verbal,0.0000,0.0054,0.0022,0.0054,0.0018,0.0000,0.0033,0.0012,0.9980,0.9978,0.9990,0.9976,0.5446,0.0261,0.0010,0.0000,0.7692,0.0052,0.0247,0.0134,0.0021,0.9898,0.9688,0.8378,0.8231,0.6419,0.0361,0.9665,0.0082,0.0022,0.0250,0.0000,0.0030,0.0087,0.0124,0.0000,0.0187,0.0028,0.0194,0.0035,0.0157,0.0587,0.0000,0.0127,0.0238,0.0188,0.0025,0.0062
MD/code_A,0.0009,0.0067,0.0011,0.0000,0.0000,0.0000,0.0022,0.0012,1.0000,0.9749,0.9929,0.9687,0.9901,0.1375,0.9729,0.0110,0.9955,0.0719,0.7454,0.9556,0.0352,0.9959,0.9584,0.9724,0.9167,0.7991,0.8144,0.9807,0.0912,0.0033,0.0671,0.0155,0.2075,0.0941,0.0134,0.0282,0.0561,0.1117,0.1137,0.0376,0.0879,0.1287,0.0000,0.0466,0.0997,0.0801,0.0381,0.2236
MD/code_B,0.0000,0.0040,0.0045,0.0054,0.0036,0.0000,0.0022,0.0120,0.0000,0.0076,0.0000,0.0108,0.1650,0.8932,0.4845,0.8770,0.0022,0.0959,0.2062,0.5212,0.0455,0.0000,0.0143,0.0053,0.0468,0.0786,0.0371,0.0039,0.1156,0.0066,0.0676,0.0035,0.1481,0.0145,0.0258,0.0282,0.0561,0.1453,0.5362,0.3747,0.0879,0.4406,0.0000,0.1937,0.0536,0.0530,0.0673,0.1491
MD/code_conditional,0.0000,0.0094,0.0022,0.0054,0.0000,0.0000,0.0022,0.0140,0.0000,0.0044,0.0000,0.0036,0.3586,0.2761,0.9990,0.0950,0.0000,0.2169,0.0928,0.9608,0.1273,0.0010,0.0078,0.0021,0.0292,0.0306,0.0873,0.0000,0.1224,0.0033,0.1235,0.0645,0.2968,0.0989,0.0497,0.0282,0.0514,0.1508,0.2274,0.0803,0.1483,0.2000,0.0000,0.0857,0.1354,0.1625,0.0723,0.2360
MD/code_list,0.0009,0.0094,0.0045,0.0068,0.0036,0.0000,0.0044,0.0096,0.0000,0.0044,0.0000,0.0060,0.0385,0.7386,0.1214,0.9870,0.0011,0.1460,0.0258,0.0083,0.0393,0.0000,0.0052,0.0032,0.0219,0.0393,0.0291,0.0000,0.1238,0.0033,0.1102,0.0055,0.1958,0.0116,0.0153,0.0282,0.0561,0.1285,0.5491,0.4349,0.1129,0.5483,0.0013,0.1630,0.0551,0.0565,0.0711,0.0870
MD/code_loop,0.0000,0.0027,0.0022,0.0027,0.0018,0.0000,0.0022,0.0000,0.9519,0.8888,0.9401,0.8941,0.5809,0.0034,0.0000,0.0000,1.0000,0.0031,0.6433,0.0000,0.0000,0.9826,0.9545,0.9714,0.9050,0.7380,0.0812,0.9743,0.0014,0.0011,0.0021,0.0000,0.0005,0.0000,0.0048,0.0000,0.0093,0.0028,0.0013,0.0000,0.0000,0.0000,0.0000,0.0011,0.0045,0.0012,0.0000,0.0000
