,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.5778,0.6675,0.5000,0.3723,0.0135,0.0059,0.0068,0.3773,0.0000,0.0025,0.0076,0.0085,0.5296,0.3934,0.5051,0.3562,0.0736,0.0296,0.5854,0.0068,0.0059,0.0093,0.0076,0.0076,0.0034,0.0034,0.0059,0.0042,0.0076,0.0051,0.0102,0.0059,0.0059,0.0093,0.0059,0.0093,0.0102,0.0000,0.0025,0.0034,0.0017,0.0017,0.0000,0.0000,0.0059
MD/add_sub_2op_verbal,0.5778,1.0000,0.5093,0.6235,0.2978,0.0626,0.0448,0.0592,0.2640,0.0000,0.0000,0.0195,0.0102,0.3706,0.5296,0.3519,0.5000,0.0635,0.0262,0.4196,0.0042,0.0059,0.0347,0.0169,0.0203,0.0008,0.0034,0.0042,0.0034,0.0431,0.0406,0.0212,0.0389,0.0254,0.0271,0.0347,0.0279,0.0364,0.0008,0.0017,0.0017,0.0000,0.0017,0.0000,0.0017,0.0042
MD/add_sub_3op_symbolic,0.6675,0.5093,1.0000,0.5254,0.3249,0.0093,0.0076,0.0051,0.3283,0.0000,0.0025,0.0034,0.0034,0.4729,0.3401,0.4619,0.3215,0.0626,0.0296,0.5017,0.0034,0.0017,0.0008,0.0042,0.0025,0.0008,0.0000,0.0034,0.0025,0.0068,0.0042,0.0059,0.0059,0.0059,0.0034,0.0042,0.0093,0.0042,0.0017,0.0042,0.0051,0.0034,0.0000,0.0017,0.0034,0.0034
MD/add_sub_3op_verbal,0.5000,0.6235,0.5254,1.0000,0.2580,0.0499,0.0372,0.0499,0.2259,0.0008,0.0034,0.0144,0.0110,0.3367,0.4298,0.3308,0.4255,0.0541,0.0228,0.3663,0.0042,0.0076,0.0355,0.0237,0.0186,0.0025,0.0042,0.0076,0.0085,0.0372,0.0372,0.0228,0.0313,0.0237,0.0203,0.0288,0.0305,0.0271,0.0008,0.0025,0.0017,0.0008,0.0008,0.0000,0.0008,0.0017
MD/code_A,0.3723,0.2978,0.3249,0.2580,1.0000,0.1565,0.3325,0.1396,0.4213,0.0237,0.0262,0.0888,0.0448,0.3613,0.2927,0.3536,0.2902,0.0956,0.0643,0.4019,0.0161,0.0118,0.0609,0.0533,0.0592,0.0085,0.0076,0.0169,0.0212,0.1142,0.1091,0.0508,0.0635,0.0448,0.0415,0.0702,0.0677,0.0457,0.0025,0.0034,0.0034,0.0008,0.0000,0.0017,0.0017,0.0118
MD/code_B,0.0135,0.0626,0.0093,0.0499,0.1565,1.0000,0.3232,0.6252,0.0102,0.0093,0.0288,0.0635,0.0863,0.0110,0.0635,0.0068,0.0660,0.0169,0.0465,0.0110,0.0186,0.0245,0.1379,0.1100,0.1142,0.0034,0.0203,0.0245,0.0415,0.3511,0.3545,0.1176,0.1464,0.1058,0.1387,0.1142,0.1142,0.1277,0.0051,0.0025,0.0017,0.0008,0.0076,0.0017,0.0008,0.0347
MD/code_conditional,0.0059,0.0448,0.0076,0.0372,0.3325,0.3232,1.0000,0.3190,0.0068,0.0567,0.0643,0.1743,0.1159,0.0102,0.0457,0.0076,0.0465,0.0068,0.0448,0.0059,0.0313,0.0220,0.1151,0.1286,0.1320,0.0144,0.0203,0.0296,0.0372,0.2521,0.2360,0.1193,0.1387,0.0956,0.0888,0.1345,0.1464,0.0973,0.0051,0.0017,0.0017,0.0017,0.0008,0.0025,0.0034,0.0271
MD/code_list,0.0068,0.0592,0.0051,0.0499,0.1396,0.6252,0.3190,1.0000,0.0068,0.0118,0.0245,0.0711,0.0973,0.0068,0.0643,0.0059,0.0711,0.0042,0.0423,0.0068,0.0212,0.0288,0.1540,0.1235,0.1303,0.0025,0.0195,0.0262,0.0398,0.3638,0.3782,0.1294,0.1582,0.1235,0.1404,0.1201,0.1337,0.1438,0.0051,0.0034,0.0034,0.0017,0.0102,0.0008,0.0008,0.0364
MD/code_loop,0.3773,0.2640,0.3283,0.2259,0.4213,0.0102,0.0068,0.0068,1.0000,0.0008,0.0051,0.0093,0.0068,0.4095,0.3105,0.4349,0.3257,0.0812,0.0288,0.4585,0.0034,0.0051,0.0034,0.0042,0.0051,0.0017,0.0025,0.0051,0.0025,0.0042,0.0034,0.0051,0.0059,0.0042,0.0034,0.0042,0.0042,0.0051,0.0017,0.0059,0.0042,0.0025,0.0008,0.0025,0.0025,0.0051
MD/logic_propositional_1,0.0000,0.0000,0.0000,0.0008,0.0237,0.0093,0.0567,0.0118,0.0008,1.0000,0.2014,0.0668,0.1971,0.0000,0.0000,0.0008,0.0008,0.0042,0.0076,0.0000,0.0296,0.0118,0.0051,0.0195,0.0389,0.0135,0.0110,0.0220,0.0305,0.1235,0.0829,0.0118,0.0254,0.0042,0.0118,0.0161,0.0313,0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0000,0.0000
