,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.099922,0.129490,0.096480,0.056588,0.002637,0.001170,0.001275,0.088661,0.000000,0.001142,0.002560,0.002342,0.092834,0.065050,0.090202,0.060463,0.046367,0.017042,0.103782,0.002384,0.002782,0.002661,0.001939,0.001712,0.001807,0.001506,0.002044,0.001366,0.001307,0.000937,0.002783,0.001256,0.001638,0.002373,0.001622,0.002150,0.002653,0.000000,0.000747,0.000907,0.000510,0.001765,0.000000,0.000000,0.003146
MD/add_sub_2op_verbal,0.099922,0.000000,0.098669,0.120151,0.045204,0.012212,0.008874,0.011090,0.061954,0.000000,0.000000,0.006559,0.002806,0.064876,0.087454,0.062759,0.084759,0.039951,0.015064,0.074289,0.001471,0.002778,0.009915,0.004306,0.004567,0.000425,0.001504,0.001453,0.001104,0.007402,0.007453,0.005777,0.008272,0.007042,0.006904,0.009529,0.006441,0.009454,0.001030,0.000507,0.000453,0.000000,0.001763,0.000000,0.001621,0.002237
MD/add_sub_3op_symbolic,0.129490,0.098669,0.000000,0.113575,0.055323,0.002035,0.001689,0.001072,0.086425,0.000000,0.001280,0.001283,0.001049,0.092865,0.063000,0.092408,0.061137,0.044180,0.019091,0.099641,0.001336,0.000898,0.000256,0.001201,0.000631,0.000476,0.000000,0.001320,0.000911,0.001310,0.000865,0.001804,0.001407,0.001835,0.000972,0.001294,0.002408,0.001224,0.002454,0.001405,0.001523,0.001142,0.000000,0.003446,0.003637,0.002031
MD/add_sub_3op_verbal,0.096480,0.120151,0.113575,0.000000,0.043697,0.010862,0.008222,0.010430,0.059152,0.000467,0.001731,0.005404,0.003377,0.065767,0.079193,0.065828,0.080483,0.037978,0.014627,0.072362,0.001641,0.003993,0.011318,0.006738,0.004669,0.001481,0.002073,0.002935,0.003081,0.007129,0.007620,0.006933,0.007427,0.007331,0.005771,0.008825,0.007857,0.007853,0.001149,0.000832,0.000505,0.000267,0.000926,0.000000,0.000851,0.001010
MD/code_A,0.056588,0.045204,0.055323,0.043697,0.000000,0.026833,0.057887,0.022984,0.086897,0.010905,0.010507,0.026251,0.010833,0.055590,0.042482,0.055427,0.043238,0.052863,0.032494,0.062540,0.004955,0.004883,0.015295,0.011937,0.011705,0.003966,0.002954,0.005140,0.006052,0.017238,0.017603,0.012167,0.011868,0.010916,0.009293,0.016944,0.013737,0.010432,0.002828,0.000891,0.000796,0.000211,0.000000,0.002700,0.001425,0.005524
MD/code_B,0.002637,0.012212,0.002035,0.010862,0.026833,0.000000,0.072313,0.132286,0.002704,0.005499,0.014844,0.024125,0.026818,0.002175,0.011844,0.001370,0.012638,0.012010,0.030199,0.002200,0.007357,0.013030,0.044508,0.031661,0.029019,0.002039,0.010142,0.009577,0.015225,0.068109,0.073509,0.036199,0.035165,0.033132,0.039915,0.035424,0.029780,0.037462,0.007414,0.000842,0.000511,0.000271,0.008902,0.003469,0.000862,0.020875
MD/code_conditional,0.001170,0.008874,0.001689,0.008222,0.057887,0.072313,0.000000,0.068537,0.001830,0.034044,0.033651,0.067239,0.036570,0.002048,0.008655,0.001555,0.009041,0.004907,0.029543,0.001198,0.012571,0.011880,0.037721,0.037584,0.034059,0.008768,0.010298,0.011748,0.013858,0.049658,0.049690,0.037288,0.033829,0.030398,0.025949,0.042363,0.038764,0.028983,0.007528,0.000582,0.000519,0.000584,0.000952,0.005181,0.003719,0.016554
MD/code_list,0.001275,0.011090,0.001072,0.010430,0.022984,0.132286,0.068537,0.000000,0.001731,0.006700,0.012126,0.025939,0.029034,0.001291,0.011517,0.001141,0.013073,0.002866,0.026380,0.001306,0.008052,0.014708,0.047729,0.034134,0.031795,0.001440,0.009355,0.009834,0.014021,0.067768,0.075306,0.038248,0.036489,0.037137,0.038799,0.035773,0.033479,0.040508,0.007119,0.001100,0.000982,0.000552,0.011473,0.001568,0.000827,0.021027
MD/code_loop,0.088661,0.061954,0.086425,0.059152,0.086897,0.002704,0.001830,0.001731,0.000000,0.000569,0.003162,0.004250,0.002542,0.097408,0.069671,0.105393,0.075024,0.069417,0.022501,0.110304,0.001618,0.003263,0.001320,0.001454,0.001559,0.001226,0.001503,0.002398,0.001103,0.000980,0.000848,0.001889,0.001705,0.001582,0.001177,0.001567,0.001318,0.001800,0.002973,0.002391,0.001520,0.001017,0.001127,0.006138,0.003239,0.003691
MD/logic_propositional_1,0.000000,0.000000,0.000000,0.000467,0.010905,0.005499,0.034044,0.006700,0.000569,0.000000,0.278564,0.068106,0.164367,0.000000,0.000000,0.000432,0.000411,0.008010,0.013246,0.000000,0.031419,0.016841,0.004417,0.015062,0.026527,0.021724,0.014748,0.023077,0.030029,0.064292,0.046131,0.009747,0.016373,0.003530,0.009113,0.013402,0.021904,0.008030,0.000000,0.000000,0.000000,0.000000,0.000000,0.032313,0.000000,0.000000
