source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,phys/spatial
Lan/anaphor_gender_agreement,0.9896,0.0134,0.0018,0.0000,0.0032,0.0037,0.0000,0.0012,0.0026,0.0000,0.0149,0.0000,0.0041,0.0012,0.0000,0.0000,0.0018,0.0014,0.0220,0.0037,0.0014,0.0090,0.0000,0.0015,0.0000,0.0021,0.0000,0.0070,0.0000,0.0129,0.0075,0.0120,0.0029,0.0000,0.0047,0.0000,0.0000
Lan/det_noun_agreement_with_adjective,0.0000,0.9893,0.0018,0.0000,0.0140,0.7141,0.0000,0.0000,0.0013,0.0000,0.0012,0.0000,0.0000,0.0023,0.0000,0.0000,0.0018,0.0029,0.0000,0.0050,0.0000,0.0051,0.0000,0.0015,0.0000,0.0005,0.0000,0.0000,0.0000,0.0043,0.0025,0.0011,0.0000,0.0000,0.0031,0.0000,0.0000
Lan/hypernymy,0.0000,0.0201,0.5978,0.0000,0.0011,0.0029,0.0000,0.0012,0.0013,0.0000,0.0025,0.0000,0.0010,0.0000,0.0000,0.0000,0.0018,0.0043,0.0013,0.0025,0.0027,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0033,0.0010,0.0000,0.0140,0.0000,0.0000
Lan/npi,0.0009,0.0054,0.0000,0.9861,0.0022,0.0016,0.0000,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,0.0000,0.0000,0.0018,0.0043,0.0091,0.0012,0.0014,0.0064,0.0000,0.0005,0.0000,0.0021,0.0000,0.0028,0.0000,0.0000,0.0125,0.0065,0.0029,0.0000,0.0047,0.0000,0.0073
Lan/subject_verb_agreement,0.0209,0.2859,0.0000,0.0069,0.9806,0.0205,0.0000,0.0012,0.0026,0.0000,0.0000,0.0000,0.0000,0.0058,0.0000,0.0000,0.0000,0.0029,0.0208,0.0075,0.0000,0.0090,0.0000,0.0010,0.0000,0.0010,0.0000,0.0000,0.0000,0.0043,0.0150,0.0022,0.0000,0.0000,0.0093,0.0000,0.0000
Lan/wug,0.0000,0.5262,0.0000,0.0000,0.0054,1.0000,0.0000,0.0012,0.0064,0.0000,0.0125,0.0000,0.0031,0.0035,0.0000,0.0010,0.0091,0.0086,0.0130,0.0025,0.0014,0.0051,0.0000,0.0010,0.0000,0.0000,0.0000,0.0007,0.0000,0.0043,0.0025,0.0076,0.0029,0.0000,0.0062,0.0000,0.0000
MD/add_sub_2op_symbolic,0.0000,0.0013,0.0000,0.0000,0.0000,0.0025,1.0000,0.9906,0.9885,0.4894,0.0112,0.0000,0.0000,0.5614,0.0000,0.9949,0.9086,0.9029,0.5331,0.0075,0.9534,0.0051,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0000,0.0010,0.0000,0.0062,0.0000,0.0000
MD/add_sub_2op_verbal,0.0000,0.0000,0.0018,0.0000,0.0000,0.0123,0.9990,0.9965,0.9872,0.5073,0.0411,0.0010,0.0113,0.6386,0.0000,0.9270,0.9196,0.7029,0.4773,0.0087,0.9300,0.0000,0.0000,0.0031,0.0000,0.0144,0.0000,0.0000,0.0000,0.0000,0.0050,0.0326,0.0162,0.0000,0.1026,0.0000,0.0073
MD/add_sub_3op_symbolic,0.0000,0.0013,0.0000,0.0000,0.0011,0.0078,0.9980,0.9859,0.9923,0.4492,0.0100,0.0000,0.0000,0.3673,0.0015,0.9784,0.8720,0.8543,0.4008,0.0859,0.9163,0.0116,0.0000,0.0005,0.0000,0.0000,0.0000,0.0014,0.0000,0.0043,0.0025,0.0044,0.0000,0.0000,0.0047,0.0000,0.0073
MD/code_A,0.0000,0.0000,0.0000,0.0000,0.0011,0.0123,0.7407,0.8541,0.8184,0.8503,0.1631,0.6898,0.0351,0.9813,0.7010,0.9856,0.9342,0.9300,0.6018,0.7684,0.9684,0.0463,0.0000,0.0580,0.0640,0.0566,0.0090,0.0105,0.0179,0.0987,0.1404,0.0381,0.0191,0.0053,0.1229,0.0000,0.1168
