,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.4777,0.6744,0.3211,0.0198,0.0107,0.0153,0.1843,0.0011,0.5704,0.3007,0.4890,0.2035,0.0034,0.4172,0.0006,0.0000,0.0023,0.0040,0.0000,0.0006,0.0011,0.0000,0.0006,0.0045,0.0057,0.0028,0.0045,0.0023,0.0006,0.0000,0.0006,0.0011,0.0017,0.0107
MD/add_sub_2op_verbal,0.4777,1.0000,0.4093,0.2917,0.0724,0.0548,0.0633,0.1747,0.0073,0.3488,0.4409,0.3205,0.1911,0.0073,0.3601,0.0051,0.0068,0.0339,0.0271,0.0260,0.0028,0.0040,0.0090,0.0130,0.0514,0.0503,0.0345,0.0288,0.0407,0.0006,0.0023,0.0006,0.0023,0.0017,0.0079
MD/add_sub_3op_symbolic,0.6744,0.4093,1.0000,0.2855,0.0158,0.0192,0.0175,0.1600,0.0051,0.4477,0.2482,0.4115,0.1645,0.0068,0.3607,0.0011,0.0006,0.0057,0.0073,0.0023,0.0017,0.0040,0.0023,0.0023,0.0068,0.0085,0.0068,0.0040,0.0062,0.0023,0.0017,0.0006,0.0023,0.0017,0.0147
MD/code_A,0.3211,0.2917,0.2855,1.0000,0.1289,0.2397,0.1018,0.3816,0.0497,0.3296,0.2448,0.3375,0.2244,0.0277,0.4234,0.0226,0.0040,0.0356,0.0480,0.0435,0.0102,0.0153,0.0339,0.0430,0.0837,0.0859,0.0328,0.0243,0.0300,0.0034,0.0028,0.0000,0.0028,0.0051,0.0085
MD/code_B,0.0198,0.0724,0.0158,0.1289,1.0000,0.2849,0.5732,0.0215,0.0464,0.0198,0.0735,0.0187,0.0441,0.0497,0.0232,0.0334,0.0119,0.0808,0.0774,0.0842,0.0079,0.0107,0.0622,0.1159,0.3284,0.3177,0.0848,0.0786,0.0854,0.0079,0.0057,0.0073,0.0028,0.0023,0.0317
MD/code_conditional,0.0107,0.0548,0.0192,0.2397,0.2849,1.0000,0.2549,0.0198,0.1447,0.0102,0.0509,0.0062,0.0243,0.0317,0.0153,0.0588,0.0124,0.1051,0.1278,0.1227,0.0209,0.0277,0.0667,0.1051,0.2137,0.2199,0.0820,0.0718,0.0774,0.0057,0.0062,0.0023,0.0028,0.0062,0.0311
MD/code_list,0.0153,0.0633,0.0175,0.1018,0.5732,0.2549,1.0000,0.0204,0.0441,0.0164,0.0656,0.0113,0.0356,0.0430,0.0175,0.0294,0.0147,0.0837,0.0780,0.0882,0.0085,0.0107,0.0588,0.1148,0.3109,0.3019,0.0904,0.0791,0.0888,0.0090,0.0057,0.0079,0.0040,0.0040,0.0317
MD/code_loop,0.1843,0.1747,0.1600,0.3816,0.0215,0.0198,0.0204,1.0000,0.0068,0.2267,0.1713,0.2408,0.1532,0.0181,0.2793,0.0040,0.0034,0.0073,0.0090,0.0057,0.0017,0.0028,0.0079,0.0073,0.0153,0.0124,0.0113,0.0040,0.0079,0.0051,0.0028,0.0006,0.0040,0.0079,0.0040
MD/logic_syllogism_1,0.0011,0.0073,0.0051,0.0497,0.0464,0.1447,0.0441,0.0068,1.0000,0.0017,0.0107,0.0023,0.0158,0.0232,0.0073,0.0888,0.0249,0.0441,0.0927,0.0724,0.0226,0.0277,0.0639,0.0447,0.0588,0.0661,0.0181,0.0277,0.0209,0.0040,0.0023,0.0023,0.0068,0.0023,0.0073
MD/mul_div_2op_symbolic,0.5704,0.3488,0.4477,0.3296,0.0198,0.0102,0.0164,0.2267,0.0017,1.0000,0.3872,0.6721,0.1820,0.0068,0.4754,0.0011,0.0011,0.0062,0.0062,0.0034,0.0023,0.0017,0.0023,0.0023,0.0096,0.0113,0.0051,0.0073,0.0062,0.0023,0.0017,0.0006,0.0006,0.0023,0.0062
MD/mul_div_2op_verbal,0.3007,0.4409,0.2482,0.2448,0.0735,0.0509,0.0656,0.1713,0.0107,0.3872,1.0000,0.3799,0.1538,0.0136,0.3335,0.0085,0.0102,0.0334,0.0345,0.0311,0.0051,0.0068,0.0153,0.0198,0.0531,0.0497,0.0390,0.0328,0.0350,0.0000,0.0023,0.0011,0.0034,0.0028,0.0073
MD/mul_div_3op_symbolic,0.4890,0.3205,0.4115,0.3375,0.0187,0.0062,0.0113,0.2408,0.0023,0.6721,0.3799,1.0000,0.1860,0.0062,0.4743,0.0011,0.0000,0.0028,0.0028,0.0017,0.0000,0.0006,0.0011,0.0017,0.0051,0.0062,0.0051,0.0045,0.0040,0.0011,0.0011,0.0006,0.0017,0.0006,0.0062
MD/number_sequence,0.2035,0.1911,0.1645,0.2244,0.0441,0.0243,0.0356,0.1532,0.0158,0.1820,0.1538,0.1860,1.0000,0.0413,0.2323,0.0254,0.0164,0.0113,0.0175,0.0141,0.0136,0.0181,0.0249,0.0300,0.0209,0.0181,0.0085,0.0124,0.0079,0.0040,0.0023,0.0000,0.0028,0.0023,0.0057
