,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_syllogism_1,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.114756,0.184588,0.065268,0.004979,0.002889,0.003984,0.073440,0.000638,0.135252,0.077841,0.122427,0.077005,0.003882,0.105739,0.000248,0.000000,0.000923,0.001379,0.000000,0.000350,0.000476,0.000000,0.000210,0.001104,0.001391,0.001403,0.002324,0.001242,0.000803,0.000000,0.001631,0.003044,0.001825,0.008959
MD/add_sub_2op_verbal,0.114756,0.000000,0.111159,0.058832,0.018066,0.014682,0.016354,0.069075,0.004199,0.082065,0.113249,0.079618,0.071752,0.008271,0.090559,0.002090,0.006044,0.013498,0.009269,0.008810,0.001622,0.001717,0.002985,0.004517,0.012512,0.012182,0.017153,0.014758,0.021800,0.000797,0.001302,0.001618,0.006315,0.001811,0.006563
MD/add_sub_3op_symbolic,0.184588,0.111159,0.000000,0.065607,0.004492,0.005861,0.005151,0.072079,0.003343,0.120014,0.072638,0.116471,0.070373,0.008778,0.103352,0.000514,0.000608,0.002586,0.002845,0.000888,0.001122,0.001956,0.000869,0.000910,0.001886,0.002345,0.003852,0.002335,0.003784,0.003482,0.001096,0.001844,0.007195,0.002063,0.013915
MD/code_A,0.065268,0.058832,0.065607,0.000000,0.027215,0.054337,0.022254,0.127665,0.024191,0.065616,0.053204,0.070941,0.071291,0.026555,0.090094,0.007837,0.003008,0.011994,0.013891,0.012472,0.005001,0.005557,0.009515,0.012641,0.017240,0.017602,0.013798,0.010536,0.013596,0.003822,0.001341,0.000000,0.006505,0.004597,0.005975
MD/code_B,0.004979,0.018066,0.004492,0.027215,0.000000,0.079903,0.155026,0.008899,0.027942,0.004877,0.019764,0.004863,0.017334,0.058947,0.006108,0.014330,0.011072,0.033679,0.027712,0.029868,0.004792,0.004809,0.021598,0.042153,0.083687,0.080545,0.044135,0.042164,0.047886,0.010987,0.003377,0.020608,0.008048,0.002565,0.027570
MD/code_conditional,0.002889,0.014682,0.005861,0.054337,0.079903,0.000000,0.074018,0.008799,0.093558,0.002697,0.014695,0.001731,0.010255,0.040367,0.004325,0.027087,0.012387,0.047035,0.049128,0.046731,0.013612,0.013365,0.024867,0.041041,0.058470,0.059857,0.045822,0.041354,0.046597,0.008512,0.003944,0.006971,0.008641,0.007423,0.029041
MD/code_list,0.003984,0.016354,0.005151,0.022254,0.155026,0.074018,0.000000,0.008742,0.027496,0.004182,0.018263,0.003043,0.014488,0.052804,0.004770,0.013060,0.014161,0.036122,0.028914,0.032393,0.005338,0.004979,0.021140,0.043229,0.082030,0.079246,0.048714,0.043933,0.051553,0.012960,0.003496,0.023091,0.011904,0.004618,0.028545
MD/code_loop,0.073440,0.069075,0.072079,0.127665,0.008899,0.008799,0.008742,0.000000,0.006489,0.088474,0.072986,0.099226,0.095415,0.034016,0.116510,0.002719,0.005012,0.004821,0.005106,0.003204,0.001634,0.001994,0.004347,0.004207,0.006178,0.004981,0.009319,0.003400,0.007019,0.011239,0.002628,0.002684,0.018218,0.013959,0.005512
MD/logic_syllogism_1,0.000638,0.004199,0.003343,0.024191,0.027942,0.093558,0.027496,0.006489,0.000000,0.000965,0.006633,0.001379,0.014317,0.063435,0.004430,0.087834,0.053408,0.042377,0.076515,0.059207,0.031604,0.028698,0.051153,0.037479,0.034544,0.038633,0.021717,0.034256,0.027017,0.012825,0.003141,0.014969,0.045058,0.005913,0.014637
MD/mul_div_2op_symbolic,0.135252,0.082065,0.120014,0.065616,0.004877,0.002697,0.004182,0.088474,0.000965,0.000000,0.098168,0.164801,0.067451,0.007604,0.118007,0.000445,0.000965,0.002437,0.002093,0.001137,0.001315,0.000720,0.000753,0.000789,0.002307,0.002701,0.002503,0.003692,0.003278,0.003016,0.000950,0.001597,0.001626,0.002418,0.005084
MD/mul_div_2op_verbal,0.077841,0.113249,0.072638,0.053204,0.019764,0.014695,0.018263,0.072986,0.006633,0.098168,0.000000,0.101697,0.062228,0.016604,0.090377,0.003754,0.009769,0.014331,0.012715,0.011356,0.003185,0.003146,0.005469,0.007413,0.013929,0.012970,0.020894,0.018112,0.020202,0.000000,0.001403,0.003197,0.010060,0.003214,0.006535
MD/mul_div_3op_symbolic,0.122427,0.079618,0.116471,0.070941,0.004863,0.001731,0.003043,0.099226,0.001379,0.164801,0.101697,0.000000,0.072783,0.007321,0.124310,0.000470,0.000000,0.001162,0.000998,0.000600,0.000000,0.000268,0.000380,0.000616,0.001294,0.001565,0.002643,0.002403,0.002233,0.001523,0.000649,0.001686,0.004864,0.000666,0.005368
MD/number_sequence,0.077005,0.071752,0.070373,0.071291,0.017334,0.010255,0.014488,0.095415,0.014317,0.067451,0.062228,0.072783,0.000000,0.073706,0.092022,0.016398,0.022960,0.007087,0.009428,0.007526,0.012413,0.012239,0.013010,0.016418,0.008014,0.006905,0.006657,0.010009,0.006665,0.008371,0.002050,0.000000,0.012110,0.003859,0.007459
MD/number_sorting,0.003882,0.008271,0.008778,0.026555,0.058947,0.040367,0.052804,0.034016,0.063435,0.007604,0.016604,0.007321,0.073706,0.000000,0.012790,0.049481,0.073927,0.027820,0.026660,0.032857,0.045169,0.042646,0.026803,0.050366,0.039224,0.040980,0.012052,0.035804,0.017312,0.010735,0.004573,0.000000,0.014355,0.011646,0.022509
MD/simple_equation,0.105739,0.090559,0.103352,0.090094,0.006108,0.004325,0.004770,0.116510,0.004430,0.118007,0.090377,0.124310,0.092022,0.012790,0.000000,0.001211,0.001031,0.001890,0.002237,0.001216,0.000367,0.000498,0.000805,0.000843,0.002620,0.002453,0.001783,0.002433,0.003221,0.001542,0.000657,0.001707,0.003186,0.001911,0.004996
ToM/agent,0.000248,0.002090,0.000514,0.007837,0.014330,0.027087,0.013060,0.002719,0.087834,0.000445,0.003754,0.000470,0.016398,0.049481,0.001211,0.000000,0.118281,0.018553,0.027287,0.031929,0.085585,0.073887,0.178290,0.110753,0.025784,0.029649,0.014020,0.020882,0.011973,0.002513,0.001070,0.000000,0.016051,0.002015,0.004000
ToM/desires_goals,0.000000,0.006044,0.000608,0.003008,0.011072,0.012387,0.014161,0.005012,0.053408,0.000965,0.009769,0.000000,0.022960,0.073927,0.001031,0.118281,0.000000,0.018409,0.016578,0.021479,0.129417,0.136695,0.114651,0.081999,0.015884,0.011739,0.019835,0.022737,0.008987,0.013870,0.004853,0.000000,0.034807,0.006752,0.008674
ToM/emotion_fewshot,0.000923,0.013498,0.002586,0.011994,0.033679,0.047035,0.036122,0.004821,0.042377,0.002437,0.014331,0.001162,0.007087,0.027820,0.001890,0.018553,0.018409,0.000000,0.093352,0.095376,0.064561,0.070562,0.027871,0.026232,0.041151,0.042315,0.072751,0.060518,0.061736,0.016201,0.005861,0.010361,0.012842,0.004982,0.008604
ToM/norm_appropriate,0.001379,0.009269,0.002845,0.013891,0.027712,0.049128,0.028914,0.005106,0.076515,0.002093,0.012715,0.000998,0.009428,0.026660,0.002237,0.027287,0.016578,0.093352,0.000000,0.173720,0.025358,0.030305,0.033078,0.022532,0.040272,0.041039,0.053217,0.047351,0.046036,0.017157,0.004628,0.019734,0.022456,0.006878,0.010133
ToM/norm_moral,0.000000,0.008810,0.000888,0.012472,0.029868,0.046731,0.032393,0.003204,0.059207,0.001137,0.011356,0.000600,0.007526,0.032857,0.001216,0.031929,0.021479,0.095376,0.173720,0.000000,0.027019,0.036250,0.040506,0.034622,0.045783,0.050609,0.049121,0.047788,0.055966,0.005288,0.002253,0.008817,0.010929,0.004240,0.010039
ToM/primary_emotions,0.000350,0.001622,0.001122,0.005001,0.004792,0.013612,0.005338,0.001634,0.031604,0.001315,0.003185,0.000000,0.012413,0.045169,0.000367,0.085585,0.129417,0.064561,0.025358,0.027019,0.000000,0.306813,0.073863,0.061570,0.007042,0.008301,0.014987,0.011211,0.010287,0.014534,0.000825,0.000000,0.026698,0.004402,0.000000
ToM/secondary_emotions,0.000476,0.001717,0.001956,0.005557,0.004809,0.013365,0.004979,0.001994,0.028698,0.000720,0.003146,0.000268,0.012239,0.042646,0.000498,0.073887,0.136695,0.070562,0.030305,0.036250,0.306813,0.000000,0.075988,0.047053,0.011399,0.012823,0.018714,0.010429,0.011479,0.006700,0.002854,0.000000,0.016812,0.006523,0.001646
