,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.098179,0.190301,0.074944,0.057615,0.004607,0.002435,0.001857,0.097838,0.001056,0.002491,0.002214,0.004783,0.150052,0.078529,0.109795,0.060463,0.056774,0.014344,0.098836,0.001319,0.003117,0.001263,0.002177,0.000848,0.002594,0.000692,0.001657,0.001180,0.000731,0.000736,0.001899,0.002406,0.002014,0.002914,0.001085,0.000996,0.002385,0.001267,0.000400,0.000366,0.000215,0.000353,0.000668,0.000000,0.003573
MD/add_sub_2op_verbal,0.098179,0.000000,0.091960,0.123868,0.049336,0.017853,0.012696,0.015200,0.079831,0.000938,0.002249,0.007705,0.002729,0.078114,0.138181,0.068389,0.084759,0.063218,0.015050,0.079234,0.001835,0.003888,0.009519,0.005166,0.005053,0.002482,0.001911,0.002422,0.002836,0.010604,0.010870,0.007319,0.013850,0.009365,0.011372,0.015200,0.007130,0.013889,0.002421,0.000966,0.000828,0.000346,0.002915,0.005386,0.000788,0.003066
MD/add_sub_3op_symbolic,0.190301,0.091960,0.000000,0.081524,0.054338,0.004723,0.001931,0.001735,0.088811,0.003494,0.006104,0.002362,0.006680,0.132499,0.070194,0.104750,0.061137,0.055497,0.017479,0.100488,0.002839,0.009274,0.002364,0.003189,0.000910,0.004632,0.000226,0.003894,0.003812,0.001380,0.000944,0.002688,0.003763,0.003816,0.003079,0.002475,0.001438,0.003976,0.002795,0.001042,0.000835,0.000481,0.000000,0.005488,0.002896,0.003944
MD/add_sub_3op_verbal,0.074944,0.123868,0.081524,0.000000,0.039536,0.013101,0.010963,0.009674,0.067638,0.008496,0.012169,0.012391,0.007546,0.065326,0.111250,0.070457,0.080483,0.037978,0.029272,0.077785,0.006545,0.012753,0.010169,0.012223,0.006050,0.011625,0.003590,0.007355,0.007566,0.008591,0.008011,0.009986,0.009406,0.009833,0.011342,0.012350,0.008459,0.014251,0.005373,0.001856,0.001784,0.001417,0.007131,0.014849,0.000634,0.001875
MD/code_A,0.057615,0.049336,0.054338,0.039536,0.000000,0.033582,0.077390,0.028109,0.120280,0.012727,0.010401,0.030627,0.012746,0.058539,0.045912,0.058017,0.043238,0.071329,0.030659,0.073538,0.007198,0.003996,0.015858,0.014671,0.011865,0.004645,0.002976,0.006561,0.009815,0.022005,0.022394,0.016353,0.013581,0.013101,0.012983,0.018647,0.014277,0.013320,0.002287,0.000399,0.000378,0.000259,0.004185,0.003201,0.000697,0.004209
MD/code_B,0.004607,0.017853,0.004723,0.013101,0.033582,0.000000,0.082808,0.147107,0.006276,0.013182,0.012261,0.024683,0.023531,0.004379,0.017300,0.003564,0.012638,0.013129,0.033622,0.003731,0.009363,0.008288,0.034230,0.024116,0.028984,0.004110,0.007099,0.014168,0.027156,0.074093,0.080981,0.040480,0.037192,0.035834,0.044034,0.032295,0.028021,0.044587,0.009004,0.000615,0.000511,0.000766,0.010681,0.006673,0.000851,0.019877
MD/code_conditional,0.002435,0.012696,0.001931,0.010963,0.077390,0.082808,0.000000,0.078124,0.003824,0.025640,0.021510,0.080614,0.028205,0.002158,0.012312,0.001816,0.009041,0.005854,0.027194,0.001723,0.017036,0.008020,0.037820,0.039170,0.036239,0.009816,0.009682,0.014689,0.024105,0.055682,0.059152,0.040747,0.028312,0.034243,0.032548,0.039415,0.035067,0.036699,0.005715,0.001297,0.001457,0.001390,0.010140,0.008058,0.001979,0.023481
MD/code_list,0.001857,0.015200,0.001735,0.009674,0.028109,0.147107,0.078124,0.000000,0.002726,0.012089,0.013309,0.024592,0.024242,0.001969,0.015789,0.001545,0.013073,0.006856,0.028469,0.000868,0.009068,0.009356,0.036904,0.026016,0.032122,0.003477,0.006750,0.014787,0.027825,0.080274,0.088755,0.040531,0.037809,0.040835,0.045414,0.032087,0.031982,0.045653,0.009574,0.001047,0.001044,0.001169,0.016045,0.005643,0.001365,0.020832
MD/code_loop,0.097838,0.079831,0.088811,0.067638,0.120280,0.006276,0.003824,0.002726,0.000000,0.002499,0.003064,0.008149,0.004700,0.108302,0.081029,0.101881,0.075024,0.094459,0.025783,0.124245,0.002770,0.005691,0.002034,0.003274,0.001525,0.002576,0.002387,0.002415,0.002503,0.001436,0.001412,0.002558,0.004620,0.003431,0.003672,0.003119,0.001943,0.004507,0.006351,0.002181,0.002193,0.002014,0.003041,0.013055,0.004659,0.003735
MD/logic_propositional_1,0.001056,0.000938,0.003494,0.008496,0.012727,0.013182,0.025640,0.012089,0.002499,0.000000,0.170782,0.060670,0.206325,0.001722,0.001462,0.001749,0.000411,0.008010,0.029582,0.002851,0.038299,0.023063,0.016703,0.020415,0.023031,0.022805,0.014148,0.031348,0.035555,0.063363,0.046507,0.013668,0.016122,0.014915,0.013199,0.016734,0.021071,0.010653,0.002498,0.000617,0.000423,0.000580,0.001629,0.022404,0.000723,0.003217
MD/logic_propositional_symbolic,0.002491,0.002249,0.006104,0.012169,0.010401,0.012261,0.021510,0.013309,0.003064,0.170782,0.000000,0.049517,0.102197,0.002170,0.003170,0.002193,0.000000,0.029588,0.041462,0.005015,0.062704,0.050912,0.015125,0.020216,0.022596,0.051685,0.029062,0.053150,0.050233,0.039635,0.031278,0.015117,0.018797,0.013400,0.013564,0.014915,0.013951,0.013284,0.010764,0.001644,0.001039,0.000342,0.003352,0.015922,0.004983,0.003791
MD/logic_syllogism_1,0.002214,0.007705,0.002362,0.012391,0.030627,0.024683,0.080614,0.024592,0.008149,0.060670,0.049517,0.000000,0.048141,0.002225,0.007954,0.001757,0.005877,0.012685,0.038557,0.003432,0.052853,0.023421,0.033146,0.051037,0.044241,0.022388,0.021658,0.034302,0.028346,0.030424,0.029389,0.020944,0.024243,0.020901,0.022325,0.042302,0.038726,0.021861,0.014786,0.005337,0.004691,0.003398,0.020027,0.059888,0.006145,0.017796
MD/logic_syllogism_symbolic,0.004783,0.002729,0.006680,0.007546,0.012746,0.023531,0.028205,0.024242,0.004700,0.206325,0.102197,0.048141,0.000000,0.003086,0.003716,0.004976,0.002754,0.011826,0.040560,0.006608,0.030040,0.015796,0.021451,0.021036,0.027150,0.013439,0.008955,0.021912,0.033412,0.061282,0.052532,0.025457,0.022687,0.021136,0.019300,0.019154,0.024305,0.017567,0.009156,0.002060,0.001497,0.001331,0.005739,0.016401,0.002582,0.007918
MD/mul_div_2op_symbolic,0.150052,0.078114,0.132499,0.065326,0.058539,0.004379,0.002158,0.001969,0.108302,0.001722,0.002170,0.002225,0.003086,0.000000,0.100092,0.160138,0.086928,0.058298,0.012917,0.109784,0.001713,0.003453,0.001155,0.002333,0.000590,0.002710,0.000327,0.001781,0.001557,0.000887,0.000968,0.000898,0.002940,0.001717,0.002495,0.000974,0.000977,0.002624,0.001182,0.000252,0.000248,0.000049,0.001575,0.001598,0.000825,0.001271
