source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,phys/spatial
Lan/anaphor_gender_agreement,0.9900,0.0065,0.0207,0.0137,0.0198,0.0072,0.0013,0.0000,0.0000,0.0000,0.0034,0.0000,0.0030,0.0000,0.0000,0.0000,0.0042,0.0021,0.0000,0.0000,0.0000,0.0013,0.0043,0.0010,0.0049,0.0180,0.0401,0.0005,0.0000,0.0000,0.0229,0.0080,0.0000,0.0188,0.0332,0.0183,0.0019,0.0000,0.0123,0.0000,0.0026,0.0070,0.0073,0.0000,0.0000
Lan/det_noun_agreement_irregular,0.0162,0.9948,0.9959,0.9888,0.0198,0.0145,0.9696,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0010,0.0000,0.0000,0.0014,0.0011,0.0011,0.0000,0.0000,0.0000,0.0022,0.0000,0.0115,0.0097,0.0458,0.0005,0.0000,0.0000,0.0352,0.0150,0.0000,0.0188,0.0302,0.0078,0.0028,0.0024,0.0092,0.0000,0.0000,0.0126,0.0073,0.0000,0.0000
Lan/det_noun_agreement_regular,0.0125,0.9935,0.9979,0.9875,0.0178,0.0145,0.9658,0.0000,0.0000,0.0000,0.0011,0.0000,0.0040,0.0010,0.0000,0.0000,0.0042,0.0021,0.0011,0.0000,0.0000,0.0013,0.0022,0.0020,0.0082,0.0097,0.0355,0.0010,0.0000,0.0000,0.0449,0.0168,0.0000,0.0188,0.0272,0.0105,0.0038,0.0024,0.0107,0.0000,0.0038,0.0140,0.0085,0.0000,0.0000
Lan/det_noun_agreement_with_adjective,0.0150,0.9935,0.9979,0.9913,0.0297,0.0145,0.9806,0.0000,0.0000,0.0000,0.0023,0.0000,0.0030,0.0010,0.0000,0.0000,0.0000,0.0032,0.0000,0.0000,0.0000,0.0013,0.0000,0.0010,0.0115,0.0125,0.0435,0.0010,0.0000,0.0000,0.0528,0.0318,0.0000,0.0282,0.0302,0.0105,0.0038,0.0024,0.0061,0.0000,0.0026,0.0112,0.0061,0.0000,0.0000
Lan/hypernymy,0.0125,0.0633,0.1380,0.1283,0.7921,0.0109,0.0144,0.0000,0.0000,0.0000,0.0011,0.0000,0.0010,0.0010,0.0000,0.0000,0.0000,0.0021,0.0000,0.0000,0.0000,0.0013,0.0043,0.0000,0.0033,0.0291,0.0653,0.0041,0.0000,0.0000,0.1803,0.1608,0.0054,0.0329,0.0574,0.0392,0.0131,0.0071,0.0551,0.0000,0.0038,0.0351,0.0121,0.0000,0.0000
Lan/npi,0.0175,0.0052,0.0093,0.0137,0.0099,1.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0010,0.0000,0.0000,0.0265,0.0053,0.0148,0.0000,0.0000,0.0000,0.0011,0.0031,0.0049,0.0208,0.0172,0.0005,0.0000,0.0000,0.0202,0.0097,0.0000,0.0188,0.0363,0.0078,0.0066,0.0012,0.0077,0.0000,0.0038,0.0042,0.0049,0.0000,0.0074
Lan/wug,0.0125,0.5853,0.6878,0.7049,0.0178,0.0109,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0010,0.0000,0.0000,0.0014,0.0043,0.0000,0.0000,0.0000,0.0000,0.0011,0.0020,0.0065,0.0111,0.0080,0.0025,0.0000,0.0000,0.0132,0.0027,0.0000,0.0141,0.0332,0.0235,0.0085,0.0024,0.0031,0.0000,0.0000,0.0070,0.0085,0.0000,0.0000
MD/add_sub_2op_symbolic,0.0050,0.0000,0.0062,0.0050,0.0020,0.0000,0.0076,0.9970,0.9914,1.0000,0.9886,0.3654,0.0100,0.0010,0.0000,0.3323,0.0000,0.0032,0.0011,0.0010,0.9774,0.9271,0.7606,0.0387,0.7610,0.0139,0.0092,0.0000,0.0000,0.0000,0.0018,0.0009,0.0000,0.0141,0.0151,0.0196,0.0085,0.0024,0.0123,0.0000,0.0026,0.0098,0.0085,0.0000,0.0000
MD/add_sub_2op_verbal,0.0137,0.0013,0.0124,0.0112,0.0099,0.0000,0.0063,0.2620,0.9626,0.2072,0.9148,0.1783,0.0321,0.0010,0.0000,0.3536,0.0042,0.0064,0.0191,0.0000,0.3261,0.9410,0.4355,0.0377,0.5074,0.0180,0.0263,0.0046,0.0000,0.0000,0.0141,0.0009,0.0000,0.0329,0.0332,0.0824,0.0507,0.0142,0.1562,0.0000,0.0487,0.0757,0.0291,0.0076,0.0074
MD/add_sub_3op_symbolic,0.0037,0.0000,0.0052,0.0025,0.0000,0.0000,0.0038,0.9960,0.9936,1.0000,0.9909,0.3490,0.0100,0.0010,0.0000,0.2320,0.0000,0.0106,0.0011,0.0000,0.9969,0.9698,0.8364,0.0245,0.7872,0.0139,0.0034,0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,0.0141,0.0091,0.0092,0.0047,0.0024,0.0031,0.0000,0.0038,0.0014,0.0036,0.0000,0.0000
MD/add_sub_3op_verbal,0.0087,0.0026,0.0124,0.0100,0.0059,0.0109,0.0038,0.1470,0.7316,0.1441,0.6273,0.0438,0.0030,0.0010,0.0000,0.1185,0.0474,0.0075,0.0117,0.0000,0.1965,0.8530,0.3359,0.0316,0.2946,0.0139,0.0172,0.0031,0.0000,0.0000,0.0123,0.0000,0.0000,0.0235,0.0151,0.0444,0.0131,0.0047,0.0551,0.0000,0.0167,0.0379,0.0170,0.0013,0.0000
MD/code_A,0.0075,0.0026,0.0135,0.0075,0.0020,0.0000,0.0110,0.0960,0.2364,0.0561,0.2852,0.8107,0.1265,0.7307,0.0060,0.9149,0.1448,0.1917,0.1156,0.0041,0.1296,0.3505,0.3369,0.8573,0.5319,0.0706,0.0344,0.0203,0.0090,0.0035,0.0325,0.0159,0.0324,0.0610,0.3142,0.2301,0.1080,0.0601,0.0858,0.0143,0.0397,0.1445,0.0813,0.0076,0.1324
MD/code_B,0.0050,0.0013,0.0145,0.0112,0.0119,0.0072,0.0089,0.0000,0.0107,0.0000,0.0148,0.1072,0.7420,0.2603,0.7430,0.0071,0.2201,0.0458,0.0159,0.0184,0.0010,0.0188,0.0098,0.0469,0.0556,0.1260,0.0332,0.0346,0.0030,0.1521,0.0079,0.0018,0.0757,0.0939,0.3927,0.5974,0.5991,0.1144,0.5482,0.0156,0.3397,0.1122,0.1165,0.1217,0.0662
MD/code_conditional,0.0112,0.0052,0.0135,0.0100,0.0079,0.0072,0.0266,0.0000,0.0000,0.0000,0.0045,0.3228,0.2610,0.9860,0.0890,0.0000,0.2159,0.0756,0.6999,0.0286,0.0000,0.0025,0.0011,0.0449,0.0098,0.1136,0.0367,0.0249,0.0535,0.0155,0.0809,0.0442,0.0595,0.0892,0.3595,0.3320,0.2038,0.1097,0.1286,0.0273,0.0641,0.1851,0.1117,0.0165,0.1471
MD/code_list,0.0037,0.0052,0.0114,0.0112,0.0158,0.0072,0.0114,0.0000,0.0011,0.0000,0.0057,0.0306,0.5964,0.0160,0.9280,0.0000,0.2075,0.0607,0.0170,0.0398,0.0000,0.0025,0.0033,0.0133,0.0065,0.1524,0.0401,0.0356,0.0060,0.0930,0.0193,0.0018,0.0811,0.0986,0.4381,0.5974,0.5634,0.1132,0.5835,0.0610,0.0846,0.1136,0.1019,0.1825,0.0294
MD/code_loop,0.0175,0.0039,0.0124,0.0112,0.0059,0.0036,0.0046,0.1210,0.2503,0.1031,0.2580,0.4869,0.0080,0.0010,0.0000,0.9939,0.0237,0.0735,0.0095,0.0000,0.1276,0.4724,0.4496,0.0866,0.4632,0.0097,0.0206,0.0005,0.0000,0.0000,0.0123,0.0035,0.0000,0.0235,0.0181,0.0222,0.0038,0.0035,0.0138,0.0000,0.0077,0.0309,0.0109,0.0000,0.0000
MD/logic_propositional_1,0.0050,0.0000,0.0010,0.0025,0.0020,0.0109,0.0080,0.0000,0.0000,0.0000,0.0023,0.0153,0.0693,0.0020,0.0010,0.0000,0.6337,0.5005,0.0520,0.0745,0.0010,0.0038,0.0000,0.0489,0.0049,0.0776,0.0011,0.0025,0.0015,0.0025,0.0044,0.0053,0.0216,0.0704,0.3263,0.2366,0.1249,0.0024,0.0551,0.0078,0.0154,0.0210,0.0364,0.0063,0.0221
MD/logic_propositional_symbolic,0.0175,0.0000,0.0010,0.0012,0.0020,0.0000,0.0211,0.0000,0.0000,0.0000,0.0011,0.0088,0.0693,0.0020,0.0010,0.0000,0.2187,0.4271,0.0827,0.0439,0.0010,0.0000,0.0033,0.0102,0.0065,0.0679,0.0046,0.0015,0.0000,0.0000,0.0018,0.0009,0.0378,0.0798,0.3807,0.0810,0.0244,0.0059,0.0168,0.0013,0.0103,0.0084,0.0133,0.0000,0.0441
MD/logic_syllogism_1,0.0087,0.0052,0.0093,0.0112,0.0079,0.0362,0.0084,0.0000,0.0000,0.0000,0.0023,0.0558,0.0341,0.1141,0.0000,0.0000,0.1309,0.0937,0.9968,0.0122,0.0000,0.0000,0.0033,0.0428,0.0115,0.1094,0.0092,0.0056,0.0050,0.0020,0.0519,0.1113,0.0378,0.0563,0.2991,0.0641,0.0291,0.0071,0.0582,0.0000,0.0128,0.0631,0.0850,0.0025,0.0221
MD/logic_syllogism_symbolic,0.0050,0.0000,0.0010,0.0000,0.0020,0.0072,0.0063,0.0000,0.0011,0.0000,0.0034,0.0153,0.1044,0.0030,0.0020,0.0030,0.3552,0.4526,0.0467,0.9469,0.0010,0.0101,0.0065,0.0347,0.0295,0.0983,0.0275,0.0025,0.0015,0.0070,0.0026,0.0018,0.0595,0.0798,0.3958,0.3098,0.1878,0.0059,0.0750,0.0130,0.0321,0.0210,0.0595,0.0063,0.0294
MD/mul_div_2op_symbolic,0.0062,0.0000,0.0041,0.0050,0.0040,0.0000,0.0034,0.9410,0.8439,0.9620,0.8523,0.3118,0.0110,0.0010,0.0000,0.3972,0.0014,0.0085,0.0011,0.0010,1.0000,0.9975,0.9783,0.0387,0.8265,0.0111,0.0263,0.0010,0.0000,0.0000,0.0044,0.0009,0.0000,0.0141,0.0181,0.0222,0.0056,0.0035,0.0046,0.0000,0.0064,0.0126,0.0158,0.0000,0.0000
MD/mul_div_2op_verbal,0.0075,0.0013,0.0114,0.0137,0.0059,0.0072,0.0051,0.1840,0.9198,0.1361,0.8364,0.1182,0.0281,0.0010,0.0000,0.2685,0.0251,0.0032,0.0117,0.0000,0.4527,0.9472,0.6360,0.0285,0.5417,0.0166,0.0275,0.0031,0.0000,0.0000,0.0044,0.0009,0.0000,0.0329,0.0211,0.0667,0.0404,0.0236,0.1317,0.0000,0.0308,0.0561,0.0279,0.0063,0.0000
MD/mul_div_3op_symbolic,0.0037,0.0026,0.0093,0.0100,0.0040,0.0072,0.0025,0.7800,0.7209,0.6687,0.7261,0.3643,0.0120,0.0010,0.0000,0.5674,0.0028,0.0021,0.0032,0.0000,0.9990,0.9862,0.9816,0.0418,0.8953,0.0055,0.0160,0.0005,0.0000,0.0000,0.0026,0.0000,0.0000,0.0235,0.0211,0.0235,0.0075,0.0024,0.0214,0.0000,0.0038,0.0182,0.0109,0.0000,0.0000
MD/number_sorting,0.0037,0.0000,0.0062,0.0012,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0034,0.0055,0.0231,0.0000,0.0010,0.0000,0.0474,0.0288,0.0032,0.0010,0.0000,0.0013,0.0033,0.4557,0.0131,0.0332,0.0206,0.0056,0.0010,0.0025,0.0123,0.0018,0.0000,0.0235,0.1480,0.0706,0.0366,0.0035,0.0322,0.0013,0.0115,0.0729,0.0218,0.0000,0.0221
MD/simple_equation,0.0050,0.0000,0.0021,0.0037,0.0020,0.0145,0.0097,0.9620,0.9679,0.9660,0.9648,0.5941,0.0131,0.0000,0.0000,0.8136,0.0111,0.0160,0.0042,0.0010,0.9712,0.9899,0.9242,0.0540,0.9574,0.0125,0.0023,0.0000,0.0000,0.0000,0.0026,0.0018,0.0000,0.0188,0.0151,0.0118,0.0085,0.0035,0.0138,0.0000,0.0000,0.0084,0.0061,0.0000,0.0000
ToM/agent,0.0025,0.0013,0.0021,0.0012,0.0020,0.0072,0.0034,0.0000,0.0000,0.0000,0.0011,0.0153,0.0271,0.0010,0.0000,0.0000,0.0822,0.0639,0.1760,0.0031,0.0000,0.0013,0.0011,0.0153,0.0016,0.0748,0.0172,0.0025,0.0020,0.0015,0.0053,0.0035,0.0486,0.0423,0.3414,0.0745,0.0338,0.0035,0.0123,0.0013,0.0077,0.0351,0.0388,0.0000,0.0074
