,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.1745,0.7068,0.1841,0.1640,0.0305,0.0209,0.0253,0.1457,0.0000,0.0000,0.0061,0.0131,0.5698,0.1955,0.4276,0.0009,0.3307,0.0000,0.0000,0.0009,0.0035,0.0044,0.0000,0.0000,0.0000,0.0000,0.0035,0.0061,0.0035,0.0000,0.0000,0.0052,0.0044,0.0026,0.0061,0.0009,0.0009,0.0009,0.0009,0.0000,0.0000,0.0079
MD/add_sub_2op_verbal,0.1745,1.0000,0.1396,0.5009,0.2077,0.1300,0.0820,0.1143,0.1693,0.0026,0.0000,0.0279,0.0148,0.1911,0.6745,0.2356,0.0070,0.2583,0.0026,0.0052,0.0410,0.0209,0.0218,0.0009,0.0061,0.0061,0.0079,0.0829,0.0855,0.0305,0.0663,0.0175,0.0480,0.0698,0.0349,0.0558,0.0035,0.0061,0.0052,0.0009,0.0044,0.0000,0.0052
MD/add_sub_3op_symbolic,0.7068,0.1396,1.0000,0.1632,0.0942,0.0140,0.0079,0.0122,0.0812,0.0000,0.0000,0.0017,0.0096,0.4747,0.1545,0.3429,0.0009,0.3010,0.0000,0.0000,0.0000,0.0026,0.0009,0.0000,0.0000,0.0000,0.0000,0.0026,0.0044,0.0026,0.0000,0.0009,0.0035,0.0035,0.0017,0.0044,0.0000,0.0009,0.0009,0.0009,0.0000,0.0000,0.0017
MD/add_sub_3op_verbal,0.1841,0.5009,0.1632,1.0000,0.1422,0.0489,0.0393,0.0332,0.1483,0.0105,0.0061,0.0262,0.0105,0.1928,0.4852,0.2269,0.0096,0.2382,0.0044,0.0079,0.0244,0.0288,0.0105,0.0044,0.0096,0.0131,0.0131,0.0244,0.0297,0.0253,0.0218,0.0122,0.0244,0.0271,0.0227,0.0279,0.0087,0.0105,0.0096,0.0122,0.0131,0.0035,0.0052
MD/code_A,0.1640,0.2077,0.0942,0.1422,1.0000,0.1998,0.3909,0.1702,0.3927,0.0218,0.0201,0.0750,0.0332,0.1588,0.1736,0.1911,0.0471,0.2792,0.0236,0.0061,0.0620,0.0515,0.0454,0.0044,0.0070,0.0166,0.0489,0.1169,0.1195,0.0585,0.0515,0.0445,0.0602,0.0672,0.0550,0.0462,0.0017,0.0009,0.0026,0.0017,0.0044,0.0017,0.0079
MD/code_B,0.0305,0.1300,0.0140,0.0489,0.1998,1.0000,0.3691,0.6684,0.0279,0.0332,0.0192,0.0567,0.0768,0.0253,0.0908,0.0140,0.0332,0.0113,0.0236,0.0079,0.1283,0.0785,0.0942,0.0052,0.0209,0.0401,0.0855,0.3464,0.3743,0.1326,0.1527,0.0864,0.1553,0.1117,0.1134,0.1300,0.0044,0.0000,0.0009,0.0009,0.0061,0.0000,0.0358
MD/code_conditional,0.0209,0.0820,0.0079,0.0393,0.3909,0.3691,1.0000,0.3342,0.0227,0.0340,0.0271,0.1257,0.0506,0.0148,0.0506,0.0079,0.0244,0.0044,0.0340,0.0140,0.0934,0.0864,0.0663,0.0096,0.0131,0.0279,0.0689,0.1972,0.2086,0.1117,0.0908,0.0672,0.1047,0.1056,0.1012,0.0881,0.0070,0.0113,0.0166,0.0122,0.0175,0.0052,0.0366
MD/code_list,0.0253,0.1143,0.0122,0.0332,0.1702,0.6684,0.3342,1.0000,0.0175,0.0297,0.0218,0.0593,0.0768,0.0227,0.0820,0.0113,0.0332,0.0044,0.0253,0.0096,0.1274,0.0794,0.1003,0.0052,0.0166,0.0410,0.0829,0.3455,0.3691,0.1283,0.1466,0.0908,0.1623,0.1065,0.1257,0.1361,0.0061,0.0061,0.0061,0.0052,0.0087,0.0026,0.0366
MD/code_loop,0.1457,0.1693,0.0812,0.1483,0.3927,0.0279,0.0227,0.0175,1.0000,0.0026,0.0026,0.0271,0.0087,0.1518,0.1536,0.1972,0.0131,0.2984,0.0052,0.0087,0.0113,0.0122,0.0070,0.0026,0.0044,0.0035,0.0096,0.0070,0.0096,0.0079,0.0140,0.0096,0.0105,0.0113,0.0096,0.0140,0.0096,0.0105,0.0122,0.0122,0.0122,0.0122,0.0061
MD/logic_propositional_1,0.0000,0.0026,0.0000,0.0105,0.0218,0.0332,0.0340,0.0297,0.0026,1.0000,0.0986,0.0558,0.1702,0.0000,0.0017,0.0000,0.0209,0.0000,0.0401,0.0122,0.0244,0.0401,0.0305,0.0087,0.0131,0.0358,0.0445,0.1274,0.1091,0.0236,0.0209,0.0244,0.0262,0.0271,0.0349,0.0183,0.0017,0.0009,0.0000,0.0000,0.0017,0.0026,0.0026
