,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.050353,0.224707,0.056071,0.039333,0.015658,0.010366,0.012302,0.058589,0.000000,0.001255,0.007545,0.008582,0.153525,0.052236,0.116653,0.003401,0.103798,0.000193,0.001533,0.002472,0.003279,0.004427,0.000642,0.001584,0.000988,0.001679,0.004575,0.005150,0.006327,0.002911,0.003300,0.004024,0.003784,0.003352,0.005418,0.002582,0.002050,0.001642,0.001858,0.002971,0.003374,0.015514
MD/add_sub_2op_verbal,0.050353,0.000000,0.048137,0.101832,0.038136,0.025564,0.021138,0.023082,0.051355,0.005109,0.002163,0.017575,0.007683,0.049277,0.117751,0.054014,0.007165,0.060852,0.002305,0.007752,0.015736,0.013181,0.009578,0.003402,0.005647,0.005693,0.005623,0.017215,0.018289,0.014643,0.020172,0.013426,0.019771,0.022905,0.014329,0.021795,0.017019,0.008949,0.007617,0.007972,0.016937,0.013123,0.015733
MD/add_sub_3op_symbolic,0.224707,0.048137,0.000000,0.059479,0.031410,0.012506,0.008700,0.009890,0.047461,0.000000,0.002292,0.005179,0.009486,0.167653,0.052954,0.126994,0.001703,0.113927,0.000231,0.001549,0.002801,0.002232,0.004912,0.000766,0.001892,0.001769,0.001838,0.004525,0.004810,0.004693,0.002078,0.003537,0.004806,0.003013,0.002821,0.005334,0.003084,0.001405,0.001660,0.002219,0.002988,0.001170,0.011391
MD/add_sub_3op_verbal,0.056071,0.101832,0.059479,0.000000,0.033610,0.017896,0.015279,0.013715,0.052689,0.008962,0.005561,0.019324,0.008353,0.054957,0.105262,0.061724,0.014877,0.068523,0.005665,0.009711,0.014565,0.014155,0.009571,0.008057,0.006472,0.009281,0.008546,0.011172,0.011000,0.015481,0.015233,0.011520,0.018207,0.015749,0.012886,0.017338,0.016049,0.009007,0.007990,0.008738,0.016665,0.015345,0.013483
MD/code_A,0.039333,0.038136,0.031410,0.033610,0.000000,0.039424,0.073358,0.032522,0.102565,0.011720,0.011120,0.028922,0.014220,0.036021,0.035099,0.043729,0.035635,0.057129,0.008108,0.007264,0.017556,0.018630,0.016076,0.005370,0.006120,0.006885,0.014957,0.023580,0.023993,0.021523,0.017406,0.017095,0.017660,0.020954,0.017260,0.018298,0.010261,0.005063,0.005304,0.004349,0.008753,0.010418,0.013165
MD/code_B,0.015658,0.025564,0.012506,0.017896,0.039424,0.000000,0.066323,0.103652,0.015566,0.014401,0.012115,0.022394,0.024706,0.012372,0.023649,0.010667,0.023713,0.007499,0.008931,0.008026,0.028874,0.022449,0.028729,0.003995,0.009075,0.013259,0.019406,0.054897,0.059183,0.035805,0.035172,0.027774,0.038178,0.029691,0.027197,0.035524,0.008736,0.004332,0.004299,0.004333,0.009641,0.006099,0.028292
MD/code_conditional,0.010366,0.021138,0.008700,0.015279,0.073358,0.066323,0.000000,0.059496,0.014960,0.020591,0.017725,0.047903,0.022761,0.009479,0.017577,0.007380,0.021745,0.006495,0.013409,0.014572,0.027397,0.030470,0.025348,0.007595,0.011601,0.011709,0.020922,0.037999,0.040911,0.035484,0.027260,0.028187,0.028206,0.032258,0.028437,0.029411,0.016512,0.008452,0.007806,0.007203,0.019256,0.016156,0.032163
MD/code_list,0.012302,0.023082,0.009890,0.013715,0.032522,0.103652,0.059496,0.000000,0.011423,0.013873,0.011776,0.023715,0.024347,0.009733,0.020184,0.007833,0.024640,0.006778,0.009697,0.008144,0.031593,0.024285,0.029693,0.004187,0.009415,0.012481,0.019738,0.055398,0.060342,0.036182,0.037284,0.030757,0.042031,0.027832,0.029065,0.038761,0.011834,0.006402,0.006669,0.006444,0.014812,0.010538,0.027455
MD/code_loop,0.058589,0.051355,0.047461,0.052689,0.102565,0.015566,0.014960,0.011423,0.000000,0.006160,0.008894,0.022264,0.010702,0.059994,0.050079,0.073837,0.023131,0.103368,0.006324,0.011121,0.008135,0.009922,0.005592,0.005695,0.006491,0.007612,0.008200,0.007602,0.007217,0.008956,0.011481,0.011580,0.011194,0.009865,0.009115,0.012754,0.029456,0.011136,0.012452,0.010419,0.019322,0.027937,0.017384
MD/logic_propositional_1,0.000000,0.005109,0.000000,0.008962,0.011720,0.014401,0.020591,0.013873,0.006160,0.000000,0.159152,0.045821,0.153567,0.000000,0.004283,0.000815,0.040943,0.002431,0.045665,0.023942,0.017742,0.025224,0.022425,0.024269,0.016085,0.032186,0.034576,0.062976,0.051140,0.019424,0.016960,0.019097,0.015267,0.020631,0.020692,0.014494,0.008192,0.001102,0.000319,0.000329,0.001709,0.012076,0.005651
MD/logic_propositional_symbolic,0.001255,0.002163,0.002292,0.005561,0.011120,0.012115,0.017725,0.011776,0.008894,0.159152,0.000000,0.043181,0.081017,0.000294,0.002353,0.005096,0.050440,0.006293,0.082591,0.053537,0.010952,0.014215,0.015030,0.056370,0.037835,0.053843,0.058082,0.042973,0.033804,0.014502,0.011073,0.013010,0.012724,0.012877,0.013090,0.008899,0.013905,0.002165,0.001573,0.000859,0.003970,0.009881,0.001515
MD/logic_syllogism_1,0.007545,0.017575,0.005179,0.019324,0.028922,0.022394,0.047903,0.023715,0.022264,0.045821,0.043181,0.000000,0.033224,0.007177,0.015836,0.010051,0.033786,0.009717,0.036225,0.018161,0.021375,0.034476,0.027905,0.013860,0.019502,0.024509,0.034364,0.025246,0.025273,0.022719,0.023373,0.019362,0.020037,0.029207,0.029938,0.021983,0.027518,0.013589,0.012065,0.012734,0.023500,0.046626,0.022838
MD/logic_syllogism_symbolic,0.008582,0.007683,0.009486,0.008353,0.014220,0.024706,0.022761,0.024347,0.010702,0.153567,0.081017,0.033224,0.000000,0.005734,0.010351,0.007654,0.068547,0.009131,0.031311,0.011214,0.020033,0.023819,0.031574,0.013557,0.012803,0.024630,0.033956,0.055087,0.049868,0.026407,0.024301,0.029041,0.023608,0.021933,0.028508,0.016179,0.005280,0.000791,0.000744,0.000531,0.002077,0.007687,0.004996
