source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,phys/spatial
Lan/anaphor_gender_agreement,0.9758,0.0064,0.0044,0.0133,0.0153,0.0000,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0023,0.0058,0.0012,0.0000,0.0053,0.0000,0.0000,0.0000,0.0000,0.0018,0.0016,0.0114,0.0214,0.0000,0.0062,0.0000,0.0000,0.0165,0.0086,0.0037,0.0034,0.0000,0.0074,0.0000,0.0149
Lan/det_noun_agreement_irregular,0.0000,0.9668,0.9735,0.9509,0.0115,0.0000,0.0367,0.6367,0.0000,0.0015,0.0010,0.0017,0.0011,0.0054,0.0000,0.0000,0.0000,0.0029,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.0200,0.0000,0.0145,0.0000,0.0177,0.0000,0.0012,0.0046,0.0172,0.0000,0.0000,0.0000,0.0075
Lan/det_noun_agreement_regular,0.0000,0.9668,0.9845,0.9695,0.0038,0.0000,0.0621,0.6214,0.0000,0.0015,0.0010,0.0017,0.0000,0.0065,0.0000,0.0000,0.0011,0.0058,0.0012,0.0000,0.0000,0.0000,0.0000,0.0014,0.0000,0.0018,0.0032,0.0000,0.0086,0.0000,0.0083,0.0000,0.0177,0.0000,0.0025,0.0055,0.0275,0.0000,0.0000,0.0000,0.0000
Lan/det_noun_agreement_with_adjective,0.0000,0.9821,0.9856,0.9867,0.0076,0.0068,0.0410,0.9650,0.0000,0.0015,0.0000,0.0000,0.0000,0.0054,0.0000,0.0000,0.0011,0.0043,0.0012,0.0000,0.0000,0.0000,0.0000,0.0041,0.0000,0.0018,0.0000,0.0029,0.0200,0.0000,0.0165,0.0000,0.0265,0.0033,0.0000,0.0037,0.0309,0.0000,0.0000,0.0000,0.0000
Lan/hypernymy,0.0000,0.0242,0.0254,0.0318,0.7023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0022,0.0054,0.0000,0.0010,0.0023,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0027,0.0000,0.0018,0.0032,0.0486,0.0243,0.0000,0.0455,0.0000,0.0088,0.0066,0.0111,0.0120,0.0412,0.0000,0.0000,0.0000,0.0149
Lan/npi,0.0000,0.0026,0.0022,0.0053,0.0000,1.0000,0.0014,0.0000,0.0000,0.0015,0.0000,0.0017,0.0000,0.0054,0.0000,0.0000,0.0000,0.0290,0.0059,0.0000,0.0075,0.0000,0.0000,0.0027,0.0000,0.0000,0.0032,0.0029,0.0057,0.0000,0.0103,0.0000,0.0177,0.0033,0.0012,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000
Lan/subject_verb_agreement,0.1028,0.0599,0.0564,0.1088,0.0076,0.0000,0.9929,0.0064,0.0000,0.0000,0.0010,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0043,0.0012,0.0000,0.0021,0.0000,0.0000,0.0027,0.0000,0.0000,0.0032,0.0229,0.0100,0.0000,0.0000,0.0000,0.0088,0.0033,0.0012,0.0028,0.0103,0.0000,0.0000,0.0000,0.0000
Lan/wug,0.0000,0.4630,0.5425,0.5544,0.0038,0.0000,0.0410,0.9980,0.0000,0.0030,0.0010,0.0000,0.0011,0.0076,0.0000,0.0030,0.0011,0.0290,0.0118,0.0000,0.0246,0.0000,0.0000,0.0164,0.0040,0.0126,0.0145,0.0043,0.0114,0.0000,0.0062,0.0000,0.0177,0.0099,0.0246,0.0175,0.0481,0.0000,0.0037,0.0000,0.0149
MD/add_sub_2op_symbolic,0.0000,0.0013,0.0022,0.0000,0.0038,0.0000,0.0014,0.0005,0.9520,0.8474,0.9116,0.7692,0.5567,0.0390,0.0000,0.0000,0.8778,0.0203,0.6045,0.0000,0.0128,0.8961,0.6861,0.6808,0.0942,0.7518,0.0016,0.0186,0.0171,0.0000,0.0062,0.0000,0.0177,0.0066,0.0062,0.0009,0.0103,0.0000,0.0000,0.0000,0.0000
MD/add_sub_2op_verbal,0.0000,0.0026,0.0011,0.0013,0.0038,0.0000,0.0000,0.0010,0.9735,0.9894,0.9709,0.9709,0.5678,0.0660,0.0000,0.0280,0.8903,0.0464,0.4864,0.0000,0.0193,0.9702,0.9760,0.7476,0.0832,0.8183,0.0081,0.0271,0.0229,0.0000,0.0269,0.0072,0.0442,0.0297,0.0873,0.0526,0.0619,0.0000,0.0221,0.0123,0.0299
