,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.1308,0.1315,0.1176,0.1369,0.0881,0.0599,0.0639,0.1522,0.0362,0.0394,0.0473,0.0410,0.1851,0.1252,0.1731,0.0672,0.1350,0.0403,0.0419,0.0422,0.0452,0.0411,0.0422,0.0437,0.0547,0.0533,0.0529,0.0510,0.0493,0.0517,0.0285,0.0303,0.0285,0.0229,0.0156,0.0198,0.0249,0.0359
MD/add_sub_2op_verbal,0.1308,1.0000,0.1158,0.2801,0.1654,0.1661,0.1134,0.1443,0.1235,0.0382,0.0451,0.0612,0.0442,0.1359,0.3306,0.1187,0.0713,0.1302,0.0442,0.0528,0.0679,0.0681,0.0465,0.0504,0.0536,0.1074,0.1164,0.0855,0.0788,0.0793,0.0833,0.0402,0.0508,0.0479,0.0403,0.0287,0.0295,0.0340,0.0716
MD/add_sub_3op_symbolic,0.1315,0.1158,1.0000,0.1087,0.1260,0.0898,0.0641,0.0681,0.1343,0.0358,0.0427,0.0472,0.0423,0.1784,0.1147,0.1728,0.0699,0.1279,0.0413,0.0494,0.0499,0.0501,0.0454,0.0426,0.0459,0.0556,0.0556,0.0586,0.0572,0.0542,0.0581,0.0306,0.0365,0.0366,0.0283,0.0200,0.0244,0.0299,0.0407
MD/add_sub_3op_verbal,0.1176,0.2801,0.1087,1.0000,0.1376,0.1240,0.0874,0.1021,0.1120,0.0434,0.0518,0.0588,0.0477,0.1163,0.2346,0.1118,0.0748,0.1243,0.0486,0.0554,0.0612,0.0625,0.0486,0.0532,0.0537,0.0833,0.0836,0.0719,0.0682,0.0693,0.0695,0.0313,0.0410,0.0388,0.0313,0.0207,0.0275,0.0319,0.0552
MD/code_A,0.1369,0.1654,0.1260,0.1376,1.0000,0.2513,0.4328,0.2074,0.2604,0.0501,0.0552,0.0975,0.0580,0.1401,0.1571,0.1205,0.0814,0.1329,0.0514,0.0514,0.0784,0.0772,0.0498,0.0560,0.0604,0.1502,0.1636,0.0859,0.0848,0.0805,0.0864,0.0367,0.0463,0.0447,0.0363,0.0302,0.0281,0.0356,0.0752
MD/code_B,0.0881,0.1661,0.0898,0.1240,0.2513,1.0000,0.2723,0.5141,0.0920,0.0432,0.0484,0.0715,0.0529,0.0872,0.1637,0.0809,0.0658,0.0824,0.0451,0.0516,0.0913,0.0907,0.0481,0.0555,0.0648,0.2484,0.2778,0.1149,0.1042,0.1093,0.1181,0.0603,0.0740,0.0712,0.0670,0.0658,0.0302,0.0491,0.1239
MD/code_conditional,0.0599,0.1134,0.0641,0.0874,0.4328,0.2723,1.0000,0.2559,0.0631,0.0531,0.0554,0.1125,0.0568,0.0604,0.1084,0.0550,0.0523,0.0602,0.0517,0.0436,0.0834,0.0845,0.0422,0.0536,0.0574,0.1761,0.1989,0.0882,0.0866,0.0818,0.0853,0.0407,0.0492,0.0459,0.0440,0.0408,0.0310,0.0370,0.0891
MD/code_list,0.0639,0.1443,0.0681,0.1021,0.2074,0.5141,0.2559,1.0000,0.0665,0.0413,0.0436,0.0658,0.0487,0.0648,0.1478,0.0567,0.0530,0.0620,0.0398,0.0459,0.0955,0.0883,0.0431,0.0493,0.0595,0.2469,0.2873,0.1179,0.1060,0.1089,0.1206,0.0623,0.0750,0.0739,0.0700,0.0725,0.0282,0.0530,0.1279
MD/code_loop,0.1522,0.1235,0.1343,0.1120,0.2604,0.0920,0.0631,0.0665,1.0000,0.0335,0.0338,0.0466,0.0404,0.1691,0.1219,0.1560,0.0652,0.1496,0.0327,0.0400,0.0431,0.0429,0.0392,0.0382,0.0395,0.0492,0.0481,0.0512,0.0513,0.0476,0.0520,0.0273,0.0329,0.0331,0.0247,0.0177,0.0224,0.0268,0.0367
MD/logic_propositional_1,0.0362,0.0382,0.0358,0.0434,0.0501,0.0432,0.0531,0.0413,0.0335,1.0000,0.1188,0.0544,0.1745,0.0346,0.0321,0.0315,0.0506,0.0385,0.0569,0.0457,0.0354,0.0380,0.0382,0.0499,0.0558,0.1112,0.0856,0.0417,0.0339,0.0366,0.0300,0.0141,0.0140,0.0141,0.0143,0.0113,0.0198,0.0117,0.0231
