,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.039107,0.051443,0.039988,0.035764,0.022056,0.018461,0.017182,0.060354,0.020390,0.020480,0.024848,0.021994,0.068787,0.038227,0.069165,0.033371,0.054976,0.019698,0.020800,0.018554,0.019509,0.022137,0.019214,0.019942,0.016237,0.015434,0.018922,0.020623,0.018967,0.020595,0.018806,0.011593,0.011038,0.009890,0.011377,0.017267,0.016987,0.015817
MD/add_sub_2op_verbal,0.039107,0.000000,0.033724,0.070905,0.032167,0.030956,0.026018,0.028886,0.036458,0.016018,0.017452,0.023934,0.017652,0.037597,0.075146,0.035308,0.026359,0.039472,0.016083,0.019513,0.022224,0.021881,0.018645,0.017083,0.018209,0.023733,0.025092,0.022767,0.023721,0.022713,0.024704,0.019748,0.014470,0.013811,0.012957,0.015582,0.019151,0.017267,0.023484
MD/add_sub_3op_symbolic,0.051443,0.033724,0.000000,0.036003,0.032062,0.021898,0.019243,0.017837,0.051875,0.019642,0.021620,0.024152,0.022103,0.064578,0.034112,0.067254,0.033811,0.050734,0.019663,0.023887,0.021370,0.021063,0.023819,0.018893,0.020402,0.016076,0.015682,0.020417,0.022530,0.020312,0.022544,0.019668,0.013603,0.013808,0.011905,0.014208,0.020726,0.019869,0.017466
MD/add_sub_3op_verbal,0.039988,0.070905,0.036003,0.000000,0.030435,0.026283,0.022806,0.023245,0.037604,0.020698,0.022797,0.026153,0.021665,0.036593,0.060647,0.037822,0.031450,0.042858,0.020113,0.023285,0.022782,0.022840,0.022163,0.020508,0.020748,0.020935,0.020496,0.021774,0.023350,0.022574,0.023441,0.017487,0.013282,0.012723,0.011445,0.012782,0.020304,0.018425,0.020591
MD/code_A,0.035764,0.032167,0.032062,0.030435,0.000000,0.040923,0.086764,0.036276,0.067168,0.018356,0.018664,0.033316,0.020239,0.033866,0.031201,0.031319,0.026294,0.035204,0.016342,0.016597,0.022421,0.021674,0.017447,0.016585,0.017928,0.029000,0.030814,0.019986,0.022305,0.020146,0.022388,0.015752,0.011523,0.011261,0.010198,0.014327,0.015940,0.015797,0.021551
MD/code_B,0.022056,0.030956,0.021898,0.026283,0.040923,0.000000,0.052313,0.086172,0.022741,0.015168,0.015683,0.023413,0.017690,0.020200,0.031156,0.020150,0.020369,0.020917,0.013741,0.015967,0.025022,0.024402,0.016149,0.015752,0.018433,0.045961,0.050143,0.025619,0.026265,0.026213,0.029327,0.024803,0.017649,0.017190,0.018037,0.029914,0.016417,0.020880,0.034028
MD/code_conditional,0.018461,0.026018,0.019243,0.022806,0.086764,0.052313,0.000000,0.052805,0.019202,0.022952,0.022099,0.045352,0.023383,0.017225,0.025399,0.016864,0.019931,0.018813,0.019392,0.016609,0.028139,0.027988,0.017442,0.018727,0.020101,0.040113,0.044197,0.024210,0.026873,0.024151,0.026076,0.020609,0.014446,0.013642,0.014583,0.022834,0.020745,0.019370,0.030125
MD/code_list,0.017182,0.028886,0.017837,0.023245,0.036276,0.086172,0.052805,0.000000,0.017656,0.015575,0.015174,0.023143,0.017492,0.016123,0.030214,0.015169,0.017622,0.016905,0.013025,0.015256,0.028112,0.025517,0.015543,0.015029,0.018179,0.049068,0.055699,0.028235,0.028698,0.028052,0.032166,0.027524,0.019213,0.019164,0.020241,0.035401,0.016465,0.024208,0.037729
MD/code_loop,0.060354,0.036458,0.051875,0.037604,0.067168,0.022741,0.019202,0.017656,0.000000,0.018631,0.017348,0.024171,0.021399,0.062048,0.036749,0.061546,0.031969,0.060153,0.015782,0.019606,0.018710,0.018282,0.020847,0.017173,0.017798,0.014420,0.013752,0.018082,0.020482,0.018082,0.020453,0.017787,0.012429,0.012658,0.010533,0.012746,0.019287,0.018052,0.015965
MD/logic_propositional_1,0.020390,0.016018,0.019642,0.020698,0.018356,0.015168,0.022952,0.015575,0.018631,0.000000,0.086608,0.040080,0.131289,0.018034,0.013746,0.017652,0.035242,0.021989,0.039007,0.031818,0.021829,0.023003,0.028857,0.031864,0.035712,0.046293,0.034763,0.020919,0.019226,0.019749,0.016761,0.013049,0.007513,0.007659,0.008662,0.011558,0.024217,0.011194,0.014274
MD/logic_propositional_symbolic,0.020480,0.017452,0.021620,0.022797,0.018664,0.015683,0.022099,0.015174,0.017348,0.086608,0.000000,0.041066,0.083595,0.018133,0.015017,0.019031,0.046598,0.022190,0.044790,0.039899,0.023388,0.027596,0.031997,0.036064,0.040103,0.037649,0.029270,0.026341,0.022609,0.024400,0.021191,0.013494,0.007527,0.007068,0.007155,0.009156,0.023138,0.010154,0.013457
MD/logic_syllogism_1,0.024848,0.023934,0.024152,0.026153,0.033316,0.023413,0.045352,0.023143,0.024171,0.040080,0.041066,0.000000,0.039434,0.022166,0.021526,0.022578,0.031179,0.026473,0.039575,0.027856,0.025591,0.029583,0.030153,0.034303,0.032769,0.032575,0.031058,0.022644,0.024119,0.022394,0.022823,0.016831,0.011010,0.010588,0.009716,0.014691,0.033992,0.014634,0.020112
MD/logic_syllogism_symbolic,0.021994,0.017652,0.022103,0.021665,0.020239,0.017690,0.023383,0.017492,0.021399,0.131289,0.083595,0.039434,0.000000,0.020104,0.015498,0.020174,0.036814,0.024804,0.035060,0.031165,0.020319,0.022196,0.026979,0.029799,0.032305,0.042503,0.034036,0.020544,0.018472,0.018757,0.017985,0.015072,0.007411,0.007294,0.007672,0.011105,0.021083,0.011026,0.013888
MD/mul_div_2op_symbolic,0.068787,0.037597,0.064578,0.036593,0.033866,0.020200,0.017225,0.016123,0.062048,0.018034,0.018133,0.022166,0.020104,0.000000,0.039638,0.084187,0.030190,0.056372,0.017368,0.019430,0.018755,0.018930,0.021231,0.018368,0.019212,0.014557,0.013665,0.018468,0.020317,0.018441,0.020716,0.018501,0.011896,0.011540,0.009791,0.012012,0.018075,0.017801,0.015084
MD/mul_div_2op_verbal,0.038227,0.075146,0.034112,0.060647,0.031201,0.031156,0.025399,0.030214,0.036749,0.013746,0.015017,0.021526,0.015498,0.039638,0.000000,0.036938,0.025408,0.038204,0.013861,0.019474,0.022562,0.022280,0.018672,0.015922,0.017624,0.021776,0.023158,0.024256,0.024686,0.025154,0.026469,0.022474,0.016522,0.015900,0.015005,0.018796,0.019094,0.021731,0.025758
