,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,0.000000,0.125831,0.181953,0.067660,0.072158,0.003804,0.000417,0.000000,0.168224,0.000842,0.002369,0.002026,0.000742,0.232687,0.115259,0.017625,0.000723,0.001450,0.000000,0.000000,0.000000,0.001096,0.000689,0.000000,0.000000,0.000000,0.001516,0.001663,0.001264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MD/add_sub_2op_verbal,0.125831,0.000000,0.106039,0.113928,0.051968,0.015894,0.011276,0.014265,0.118411,0.000000,0.005932,0.008232,0.000000,0.124225,0.155212,0.019261,0.001527,0.003061,0.009833,0.003916,0.002897,0.004552,0.002158,0.002136,0.010390,0.010855,0.005343,0.010028,0.011452,0.013018,0.004950,0.014708,0.005331,0.000541,0.000518,0.000000,0.008083,0.004231,0.000000,0.000000
MD/add_sub_3op_symbolic,0.181953,0.106039,0.000000,0.072521,0.067945,0.005389,0.001401,0.000913,0.161421,0.006577,0.015312,0.002218,0.006610,0.175127,0.097054,0.019295,0.004012,0.017781,0.003081,0.001414,0.002565,0.002480,0.006888,0.004579,0.001848,0.000814,0.004924,0.003583,0.002053,0.004457,0.001201,0.002259,0.005715,0.000000,0.000000,0.000569,0.000000,0.004536,0.002602,0.002864
MD/add_sub_3op_verbal,0.067660,0.113928,0.072521,0.000000,0.036350,0.010498,0.012421,0.009354,0.066246,0.018056,0.034135,0.017456,0.017201,0.063710,0.102172,0.053102,0.015506,0.026379,0.011006,0.015501,0.009163,0.025395,0.013649,0.013512,0.013204,0.009508,0.012150,0.015947,0.018212,0.017396,0.009653,0.024483,0.004102,0.001777,0.001702,0.000000,0.012854,0.034092,0.000000,0.000000
MD/code_A,0.072158,0.051968,0.067945,0.036350,0.000000,0.040782,0.090227,0.033786,0.157906,0.016045,0.004729,0.033961,0.017204,0.072473,0.045025,0.027624,0.002984,0.000000,0.017485,0.015541,0.014181,0.001844,0.006281,0.006773,0.029550,0.029221,0.018231,0.013323,0.014175,0.019070,0.014948,0.014501,0.000000,0.000000,0.000000,0.000000,0.012679,0.000000,0.000000,0.001031
MD/code_B,0.003804,0.015894,0.005389,0.010498,0.040782,0.000000,0.087999,0.151303,0.004898,0.017598,0.007985,0.029385,0.025895,0.004523,0.020246,0.021511,0.005657,0.001242,0.031457,0.019630,0.028618,0.001940,0.013214,0.021412,0.072322,0.080292,0.044089,0.042087,0.050632,0.029231,0.025902,0.049254,0.008797,0.000000,0.000000,0.000000,0.016616,0.000000,0.000000,0.009901
MD/code_conditional,0.000417,0.011276,0.001401,0.012421,0.090227,0.087999,0.000000,0.081886,0.000674,0.022162,0.007834,0.082456,0.028210,0.000415,0.014146,0.025326,0.008454,0.004260,0.036291,0.039609,0.034260,0.002170,0.014783,0.015287,0.058478,0.060013,0.043608,0.031406,0.032189,0.039542,0.036229,0.038725,0.002420,0.000000,0.000000,0.000498,0.018589,0.003969,0.000000,0.012370
MD/code_list,0.000000,0.014265,0.000913,0.009354,0.033786,0.151303,0.081886,0.000000,0.000000,0.014315,0.010841,0.029320,0.028033,0.000000,0.020355,0.022142,0.005454,0.002778,0.033025,0.020633,0.030981,0.003116,0.014305,0.020610,0.078295,0.089304,0.042926,0.045563,0.053113,0.029295,0.030533,0.047623,0.009523,0.000000,0.000000,0.000000,0.014438,0.000000,0.000000,0.011970
MD/code_loop,0.168224,0.118411,0.161421,0.066246,0.157906,0.004898,0.000674,0.000000,0.000000,0.002811,0.001851,0.003272,0.002478,0.175791,0.099543,0.020350,0.002414,0.002342,0.000000,0.000000,0.000000,0.001770,0.002299,0.001101,0.000000,0.000000,0.001184,0.001300,0.002041,0.001671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MD/logic_propositional_1,0.000842,0.000000,0.006577,0.018056,0.016045,0.017598,0.022162,0.014315,0.002811,0.000000,0.081303,0.054611,0.274722,0.001731,0.003263,0.026761,0.029938,0.028610,0.018622,0.017251,0.018186,0.023742,0.039350,0.040273,0.081330,0.055964,0.011537,0.011104,0.007256,0.015747,0.017790,0.007983,0.004886,0.000000,0.000000,0.000000,0.000000,0.024573,0.000000,0.005060
