,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/add_sub_2op_symbolic,1.0000,0.1610,0.1881,0.1149,0.1582,0.1302,0.1226,0.1275,0.1417,0.0663,0.0702,0.1053,0.0782,0.3348,0.1387,0.1109,0.0866,0.0709,0.1221,0.1158,0.1185,0.0811,0.0919,0.0933,0.0858,0.0992,0.1243,0.1273,0.1199,0.1255,0.1203,0.1225,0.0849,0.0977,0.0950,0.0851,0.0844,0.0764,0.0801,0.1011
MD/add_sub_2op_verbal,0.1610,1.0000,0.1485,0.2008,0.1411,0.1352,0.1258,0.1329,0.1157,0.0806,0.0816,0.1106,0.0864,0.1603,0.2323,0.1039,0.0970,0.0804,0.1170,0.1126,0.1139,0.0866,0.0993,0.0992,0.1132,0.1220,0.1118,0.1174,0.1160,0.1192,0.1148,0.1188,0.0787,0.0884,0.0876,0.0798,0.0819,0.0745,0.0746,0.1016
MD/add_sub_3op_symbolic,0.1881,0.1485,1.0000,0.1312,0.1326,0.1096,0.1045,0.1032,0.1347,0.0894,0.0896,0.1065,0.0954,0.1940,0.1392,0.1100,0.1042,0.0931,0.0945,0.0972,0.0997,0.1026,0.1069,0.1061,0.0978,0.0981,0.0976,0.0957,0.0978,0.0981,0.0984,0.0941,0.0720,0.0786,0.0798,0.0730,0.0710,0.0757,0.0677,0.0782
MD/add_sub_3op_verbal,0.1149,0.2008,0.1312,1.0000,0.1103,0.0969,0.0929,0.0914,0.1044,0.0886,0.0899,0.0969,0.0936,0.1094,0.1768,0.0945,0.0953,0.0925,0.0853,0.0895,0.0909,0.0939,0.0994,0.0983,0.1028,0.1015,0.0852,0.0847,0.0902,0.0907,0.0887,0.0860,0.0645,0.0688,0.0696,0.0631,0.0620,0.0685,0.0607,0.0715
MD/code_A,0.1582,0.1411,0.1326,0.1103,1.0000,0.2081,0.4446,0.1914,0.2912,0.0853,0.0692,0.1512,0.0938,0.1489,0.1307,0.1084,0.0947,0.0762,0.1215,0.1201,0.1264,0.0957,0.1025,0.1012,0.1332,0.1456,0.1188,0.1204,0.1183,0.1253,0.1257,0.1156,0.0808,0.0924,0.0916,0.0848,0.0836,0.0765,0.0780,0.1101
MD/code_B,0.1302,0.1352,0.1096,0.0969,0.2081,1.0000,0.2454,0.4625,0.1061,0.0907,0.0737,0.1249,0.0999,0.1280,0.1255,0.1075,0.1008,0.0752,0.1305,0.1242,0.1285,0.0887,0.1065,0.1108,0.1876,0.2098,0.1320,0.1353,0.1311,0.1248,0.1306,0.1277,0.0871,0.1079,0.1084,0.1072,0.1118,0.0790,0.0898,0.1463
MD/code_conditional,0.1226,0.1258,0.1045,0.0929,0.4446,0.2454,1.0000,0.2339,0.1013,0.0858,0.0693,0.1579,0.0926,0.1200,0.1144,0.1005,0.0951,0.0701,0.1353,0.1301,0.1347,0.0855,0.1010,0.0992,0.1493,0.1675,0.1299,0.1337,0.1243,0.1306,0.1356,0.1251,0.0837,0.1021,0.0991,0.0961,0.0984,0.0796,0.0845,0.1311
MD/code_list,0.1275,0.1329,0.1032,0.0914,0.1914,0.4625,0.2339,1.0000,0.0943,0.0829,0.0682,0.1191,0.0932,0.1279,0.1224,0.1026,0.0939,0.0685,0.1389,0.1287,0.1340,0.0804,0.1006,0.1051,0.1785,0.2087,0.1370,0.1444,0.1387,0.1317,0.1368,0.1380,0.0913,0.1126,0.1100,0.1090,0.1171,0.0768,0.0919,0.1481
MD/code_loop,0.1417,0.1157,0.1347,0.1044,0.2912,0.1061,0.1013,0.0943,1.0000,0.0622,0.0592,0.1049,0.0712,0.1344,0.1149,0.0984,0.0776,0.0785,0.0904,0.0882,0.0956,0.0981,0.0831,0.0867,0.0623,0.0721,0.0976,0.0909,0.0924,0.0948,0.0954,0.0941,0.0708,0.0779,0.0770,0.0666,0.0697,0.0665,0.0644,0.0721
MD/logic_propositional_1,0.0663,0.0806,0.0894,0.0886,0.0853,0.0907,0.0858,0.0829,0.0622,1.0000,0.1397,0.0993,0.2370,0.0598,0.0865,0.0903,0.1296,0.1175,0.0475,0.0696,0.0619,0.1110,0.1248,0.1198,0.1943,0.1558,0.0406,0.0398,0.0532,0.0525,0.0570,0.0405,0.0505,0.0514,0.0570,0.0639,0.0513,0.0826,0.0487,0.0590
MD/logic_propositional_symbolic,0.0702,0.0816,0.0896,0.0899,0.0692,0.0737,0.0693,0.0682,0.0592,0.1397,1.0000,0.0869,0.1376,0.0652,0.0888,0.0867,0.1297,0.1108,0.0586,0.0730,0.0710,0.1040,0.1261,0.1123,0.1283,0.1133,0.0533,0.0520,0.0656,0.0633,0.0654,0.0543,0.0512,0.0542,0.0561,0.0601,0.0500,0.0751,0.0522,0.0583
MD/logic_syllogism_1,0.1053,0.1106,0.1065,0.0969,0.1512,0.1249,0.1579,0.1191,0.1049,0.0993,0.0869,1.0000,0.1006,0.1030,0.1051,0.1003,0.1170,0.0901,0.1010,0.1094,0.1115,0.1043,0.1151,0.1128,0.1223,0.1304,0.0975,0.0981,0.0994,0.1057,0.1077,0.0919,0.0699,0.0805,0.0815,0.0760,0.0743,0.0812,0.0676,0.0890
MD/logic_syllogism_symbolic,0.0782,0.0864,0.0954,0.0936,0.0938,0.0999,0.0926,0.0932,0.0712,0.2370,0.1376,0.1006,1.0000,0.0701,0.0927,0.0947,0.1202,0.1052,0.0575,0.0737,0.0707,0.1040,0.1199,0.1136,0.1834,0.1506,0.0553,0.0532,0.0623,0.0646,0.0660,0.0538,0.0534,0.0549,0.0591,0.0612,0.0546,0.0764,0.0525,0.0635
MD/mul_div_2op_symbolic,0.3348,0.1603,0.1940,0.1094,0.1489,0.1280,0.1200,0.1279,0.1344,0.0598,0.0652,0.1030,0.0701,1.0000,0.1555,0.1076,0.0830,0.0683,0.1243,0.1182,0.1196,0.0778,0.0885,0.0912,0.0834,0.0941,0.1261,0.1311,0.1254,0.1265,0.1213,0.1291,0.0875,0.1006,0.0961,0.0874,0.0900,0.0752,0.0824,0.1048
